english,category,sources,srd_5_1,srd_5_2,proposed_zh_tw,status,notes
Demon Armor,item,DMG,true,false,,pending,
Destroy Undead (CR 1),classFeature,PHB,true,false,,pending,
Destroy Undead (CR 1/2),classFeature,PHB,true,false,,pending,
Destroy Undead (CR 2),classFeature,PHB,true,false,,pending,
Destroy Undead (CR 3),classFeature,PHB,true,false,,pending,
Destroy Undead (CR 4),classFeature,PHB,true,false,,pending,
Detect Evil and Good,spell,PHB; XPHB,true,true,,pending,
Detect Magic,spell,PHB; XPHB,true,true,,pending,
Detect Poison and Disease,spell,PHB; XPHB,true,true,,pending,
Detect Thoughts,spell,PHB; XPHB,true,true,,pending,
Deva,monster,MM; XMM,true,true,,pending,
Devil's Sight,optionalfeature,PHB; XPHB,true,true,,pending,
Devious Strikes,classFeature,XPHB,false,true,,pending,
Dexterous Attacks,classFeature,XPHB,false,true,,pending,
Diamond Soul,classFeature,PHB,true,false,,pending,
Diancecht,deity,PHB,true,false,,pending,
Dice Set,item,PHB; XPHB,true,true,,pending,
Difficult Terrain,variantrule,XPHB,false,true,,pending,
Difficulty Class,variantrule,XPHB,false,true,,pending,
Dim Light,variantrule,XPHB,false,true,,pending,
Dimension Door,spell,PHB; XPHB,true,true,,pending,
Dimensional Shackles,item,DMG; XDMG,true,true,,pending,
Dionysus,deity,PHB,true,false,,pending,
Diplomat's Pack,item,PHB; XPHB,true,true,,pending,
Dire Wolf,monster,MM; XMM,true,true,,pending,
Disadvantage,variantrule,XPHB,false,true,,pending,
Disciple of Life,subclassFeature,PHB; XPHB,true,true,,pending,
Disciplined Survivor,classFeature,XPHB,false,true,,pending,
Disengage,action,PHB; XPHB,true,true,,pending,
Disguise Kit,item,PHB; XPHB,true,true,,pending,
Disguise Self,spell,PHB; XPHB,true,true,,pending,
Disintegrate,spell,PHB; XPHB,true,true,,pending,
Dispel Evil and Good,spell,PHB; XPHB,true,true,,pending,
Dispel Magic,spell,PHB; XPHB,true,true,,pending,
Dissonant Whispers,spell,XPHB,false,true,,pending,
Distant Spell,optionalfeature,PHB; XPHB,true,true,,pending,
Divination,spell,PHB; XPHB,true,true,,pending,
Divine Domain,classFeature,PHB,true,false,,pending,
Divine Domain feature,classFeature,PHB,true,false,,pending,
Divine Favor,spell,PHB; XPHB,true,true,,pending,
Divine Health,classFeature,PHB,true,false,,pending,
Divine Intervention,classFeature,PHB; XPHB,true,true,,pending,
Divine Intervention Improvement,classFeature,PHB,true,false,,pending,
Divine Order,classFeature,XPHB,false,true,,pending,
Divine Sense,classFeature,PHB; XPHB,true,true,,pending,
Divine Smite,classFeature; spell,PHB; XPHB,true,true,,pending,
Divine Spark,classFeature,XPHB,false,true,,pending,
Divine Strike,classFeature; subclassFeature,PHB; XPHB,true,true,,pending,
Divine Word,spell,PHB; XPHB,true,true,,pending,
Djinni,monster,MM; XMM,true,true,,pending,
Dodge,action,PHB; XPHB,true,true,,pending,
Dominate Beast,spell,PHB; XPHB,true,true,,pending,
Dominate Monster,spell,PHB; XPHB,true,true,,pending,
Dominate Person,spell,PHB; XPHB,true,true,,pending,
Don or Doff a Shield,action,PHB; XPHB,true,true,,pending,
Donjon,card,DMG; XDMG,true,true,,pending,
Donkey,item,PHB,true,false,,pending,
Doppelganger,monster,MM; XMM,true,true,,pending,
Draconic,language,PHB; XPHB,true,true,,pending,
Draconic Bloodline,subclass; subclassFeature,PHB,true,false,,pending,
Draconic Presence,subclassFeature,PHB,true,false,,pending,
Draconic Resilience,subclassFeature,PHB; XPHB,true,true,,pending,
Draconic Sorcery,subclass; subclassFeature,XPHB,false,true,,pending,
Draconic Spells,subclassFeature,XPHB,false,true,,pending,
Draconic Spirit,monster,XPHB,false,true,,pending,
Draft Horse,item; monster,MM; PHB; XMM; XPHB,true,true,,pending,
Dragon Ancestor,subclassFeature,PHB,true,false,,pending,
Dragon Companion,subclassFeature,XPHB,false,true,,pending,
Dragon Scale Mail,itemGroup,DMG; XDMG,true,true,,pending,
Dragon Turtle,monster,MM; XMM,true,true,,pending,
Dragon Wings,subclassFeature,PHB; XPHB,true,true,,pending,
Dragon's Breath,spell,XPHB,false,true,,pending,
Dragonborn,race,PHB; XPHB,true,true,,pending,
Drawmij's Instant Summons,spell,PHB; XPHB,true,true,,pending,
Dreadful Word,optionalfeature,PHB,true,false,,pending,
Dream,spell,PHB; XPHB,true,true,,pending,
Dretch,monster,MM; XMM,true,true,,pending,
Drider,monster,MM; XMM,true,true,,pending,
Drow,monster,MM,true,false,,pending,
Drow Poison,item,DMG,true,false,,pending,
Druid,card; class; monster,DMG; MM; PHB; XMM; XPHB,true,true,,pending,
Druid Circle,classFeature,PHB,true,false,,pending,
Druid Circle feature,classFeature,PHB,true,false,,pending,
Druid Subclass,classFeature,XPHB,false,true,,pending,
Druidcraft,spell,PHB; XPHB,true,true,,pending,
Druidic,classFeature; language,PHB; XPHB,true,true,,pending,
Drum,baseitem,PHB; XPHB,true,true,,pending,
Dryad,monster,MM; XMM,true,true,,pending,
Dueling,optionalfeature,PHB,true,false,,pending,
Duergar,monster,MM,true,false,,pending,
Dulcimer,baseitem,PHB; XPHB,true,true,,pending,
Dunatis,deity,PHB,true,false,,pending,
Dungeoneer's Pack,item,PHB; XPHB,true,true,,pending,
Dust Mephit,monster,MM; XMM,true,true,,pending,
Dust of Disappearance,item,DMG; XDMG,true,true,,pending,
Dust of Dryness,item,DMG; XDMG,true,true,,pending,
Dust of Sneezing and Choking,item,DMG; XDMG,true,true,,pending,
Dwarf,race,PHB; XPHB,true,true,,pending,
Dwarven Plate,item,DMG,true,false,,pending,
Dwarven Thrower,item,DMG; XDMG,true,true,,pending,
Dwarvish,language,PHB; XPHB,true,true,,pending,
Eagle,monster,MM; XMM,true,true,,pending,
Earth Elemental,monster,MM; XMM,true,true,,pending,
Earthquake,spell,PHB; XPHB,true,true,,pending,
Efreeti,monster,MM; XMM,true,true,,pending,
Efreeti Bottle,item,DMG; XDMG,true,true,,pending,
Eldritch Blast,spell,PHB; XPHB,true,true,,pending,
Eldritch Invocation Options,classFeature,XPHB,false,true,,pending,
Eldritch Invocations,classFeature,PHB; XPHB,true,true,,pending,
Eldritch Master,classFeature,PHB; XPHB,true,true,,pending,
Eldritch Sight,optionalfeature,PHB,true,false,,pending,
Eldritch Spear,optionalfeature,PHB; XPHB,true,true,,pending,
Elemental Affinity,subclassFeature,PHB; XPHB,true,true,,pending,
Elemental Fury,classFeature,XPHB,false,true,,pending,
Elemental Gem,itemGroup,XDMG,false,true,,pending,
"Elemental Gem, Blue Sapphire",item,DMG; XDMG,true,true,,pending,
"Elemental Gem, Emerald",item,DMG; XDMG,true,true,,pending,
"Elemental Gem, Red Corundum",item,DMG; XDMG,true,true,,pending,
"Elemental Gem, Yellow Diamond",item,DMG; XDMG,true,true,,pending,
Elementalism,spell,XPHB,false,true,,pending,
Elephant,item; monster,MM; PHB; XMM; XPHB,true,true,,pending,
Elf,race,PHB; XPHB,true,true,,pending,
Elixir of Health,item,XDMG,false,true,,pending,
Elk,monster,MM; XMM,true,true,,pending,
Elusive,classFeature,PHB; XPHB,true,true,,pending,
Elven Chain,item,DMG,true,false,,pending,
Elvish,language,PHB; XPHB,true,true,,pending,
Emanation [Area of Effect],variantrule,XPHB,false,true,,pending,
Emblem,item,PHB; XPHB,true,true,,pending,
Empowered Evocation,subclassFeature,PHB; XPHB,true,true,,pending,
Empowered Spell,optionalfeature,PHB; XPHB,true,true,,pending,
Empowered Strikes,classFeature,XPHB,false,true,,pending,
Empty Body,classFeature,PHB,true,false,,pending,
Encounter,variantrule,XPHB,false,true,,pending,
End Concentration,action,PHB; XPHB,true,true,,pending,
Enemy,variantrule,XPHB,false,true,,pending,
Enhance Ability,spell,PHB; XPHB,true,true,,pending,
Enlarge/Reduce,spell,PHB; XPHB,true,true,,pending,
Ensnaring Strike,spell,XPHB,false,true,,pending,
Entangle,spell,PHB; XPHB,true,true,,pending,
Entertainer's Pack,item,PHB; XPHB,true,true,,pending,
Enthrall,spell,PHB; XPHB,true,true,,pending,
Epic Boon,classFeature,XPHB,false,true,,pending,
Erinyes,card; monster,DMG; MM; XMM,true,true,,pending,
Escape a Grapple,action,PHB; XPHB,true,true,,pending,
Escape the Horde,subclassFeature,PHB,true,false,,pending,
Essence of Ether,item,DMG; XDMG,true,true,,pending,
Etherealness,spell,PHB; XPHB,true,true,,pending,
Ettercap,monster,MM; XMM,true,true,,pending,
Ettin,card; monster,DMG; MM; XMM,true,true,,pending,
Euryale,card,DMG; XDMG,true,true,,pending,
Evard's Black Tentacles,spell,PHB; XPHB,true,true,,pending,
Evasion,classFeature; subclassFeature,PHB; XPHB,true,true,,pending,
Eversmoking Bottle,item,DMG; XDMG,true,true,,pending,
Evocation Savant,subclassFeature,PHB; XPHB,true,true,,pending,
Evoker,subclass; subclassFeature,XPHB,false,true,,pending,
Exhaustion,condition,PHB; XPHB,true,true,,pending,
Exotic Saddle,item,PHB; XPHB,true,true,,pending,
Expeditious Retreat,spell,PHB; XPHB,true,true,,pending,
Experience Points,variantrule,XPHB,false,true,,pending,
Expertise,classFeature; variantrule,PHB; XPHB,true,true,,pending,
Explorer's Pack,item,PHB; XPHB,true,true,,pending,
Extended Spell,optionalfeature,PHB; XPHB,true,true,,pending,
Extra Attack,classFeature,PHB; XPHB,true,true,,pending,
Extra Attack (2),classFeature,PHB,true,false,,pending,
Extra Attack (3),classFeature,PHB,true,false,,pending,
Eyebite,spell,PHB; XPHB,true,true,,pending,
Eyes of Charming,item,DMG; XDMG,true,true,,pending,
Eyes of Minute Seeing,item,DMG; XDMG,true,true,,pending,
Eyes of the Eagle,item,DMG; XDMG,true,true,,pending,
Eyes of the Rune Keeper,optionalfeature,PHB,true,false,,pending,
Fabricate,spell,PHB; XPHB,true,true,,pending,
Faerie Fire,spell,PHB; XPHB,true,true,,pending,
Faithful Steed,classFeature,XPHB,false,true,,pending,
Falling Net,trap,DMG; XDMG,true,true,,pending,
False Life,spell,PHB; XPHB,true,true,,pending,
Fast Hands,subclassFeature,PHB; XPHB,true,true,,pending,
Fast Movement,classFeature,PHB; XPHB,true,true,,pending,
Fates,card,XDMG,false,true,,pending,
Favored Enemy,classFeature,PHB; XPHB,true,true,,pending,
Favored Enemy and Natural Explorer improvements,classFeature,PHB,true,false,,pending,
Favored Enemy improvement,classFeature,PHB,true,false,,pending,
Fear,spell,PHB; XPHB,true,true,,pending,
Feather Fall,spell,PHB; XPHB,true,true,,pending,
Feeblemind,spell,PHB,true,false,,pending,
Feed (per day),item,PHB; XPHB,true,true,,pending,
Feral Instinct,classFeature,PHB; XPHB,true,true,,pending,
Feral Senses,classFeature,PHB; XPHB,true,true,,pending,
Fiend Patron,subclass; subclassFeature,XPHB,false,true,,pending,
Fiend Spells,subclassFeature,XPHB,false,true,,pending,
Fiendish Resilience,subclassFeature,PHB; XPHB,true,true,,pending,
Fiendish Vigor,optionalfeature,PHB; XPHB,true,true,,pending,
Fighter,class,PHB; XPHB,true,true,,pending,
Fighter Subclass,classFeature,XPHB,false,true,,pending,
Fighting Style,classFeature,PHB; XPHB,true,true,,pending,
Figurine of Wondrous Power,itemGroup,XDMG,false,true,,pending,
"Figurine of Wondrous Power, Bronze Griffon",item,DMG; XDMG,true,true,,pending,
"Figurine of Wondrous Power, Ebony Fly",item,DMG; XDMG,true,true,,pending,
"Figurine of Wondrous Power, Golden Lions",item,DMG; XDMG,true,true,,pending,
"Figurine of Wondrous Power, Ivory Goats",item,DMG; XDMG,true,true,,pending,
"Figurine of Wondrous Power, Marble Elephant",item,DMG; XDMG,true,true,,pending,
"Figurine of Wondrous Power, Obsidian Steed",item,DMG; XDMG,true,true,,pending,
"Figurine of Wondrous Power, Onyx Dog",item,DMG; XDMG,true,true,,pending,
"Figurine of Wondrous Power, Serpentine Owl",item,DMG; XDMG,true,true,,pending,
"Figurine of Wondrous Power, Silver Raven",item,DMG; XDMG,true,true,,pending,
Find Familiar,spell,PHB; XPHB,true,true,,pending,
Find Steed,spell,PHB; XPHB,true,true,,pending,
Find the Path,spell,PHB; XPHB,true,true,,pending,
Find Traps,spell,PHB; XPHB,true,true,,pending,
Fine Clothes,item,PHB; XPHB,true,true,,pending,
Fine Wine (bottle),item,PHB; XPHB,true,true,,pending,
Finger of Death,spell,PHB; XPHB,true,true,,pending,
Fire Bolt,spell,PHB; XPHB,true,true,,pending,
Fire Elemental,monster,MM; XMM,true,true,,pending,
Fire Giant,card; monster,DMG; MM; XMM,true,true,,pending,
Fire Shield,spell,PHB; XPHB,true,true,,pending,
Fire Storm,spell,PHB; XPHB,true,true,,pending,
Fire-Breathing Statue,trap,DMG,true,false,,pending,
Fire-Casting Statue,trap,XDMG,false,true,,pending,
Fireball,spell,PHB; XPHB,true,true,,pending,
Fishing Tackle,item,PHB,true,false,,pending,
Flail,baseitem,PHB; XPHB,true,true,,pending,
Flame Blade,spell,PHB; XPHB,true,true,,pending,
Flame Strike,spell,PHB; XPHB,true,true,,pending,
Flames,card,DMG; XDMG,true,true,,pending,
Flaming Sphere,spell,PHB; XPHB,true,true,,pending,
Flask,item,PHB; XPHB,true,true,,pending,
Fleet Step,subclassFeature,XPHB,false,true,,pending,
Flesh Golem,monster,MM; XMM,true,true,,pending,
Flesh to Stone,spell,PHB; XPHB,true,true,,pending,
Flexible Casting,classFeature,PHB,true,false,,pending,
Flour,item,PHB; XDMG,true,true,,pending,
Flurry of Blows,classFeature,PHB; XPHB,true,true,,pending,
Flute,baseitem,PHB; XPHB,true,true,,pending,
Fly,spell,PHB; XPHB,true,true,,pending,
Fly Speed,variantrule,XPHB,false,true,,pending,
Flying,variantrule,XPHB,false,true,,pending,
Flying Snake,monster,MM; XMM,true,true,,pending,
Flying Sword,monster,MM,true,false,,pending,
Foe Slayer,classFeature,PHB; XPHB,true,true,,pending,
Fog Cloud,spell,PHB; XPHB,true,true,,pending,
Folding Boat,item,DMG; XDMG,true,true,,pending,
Font of Inspiration,classFeature,PHB; XPHB,true,true,,pending,
Font of Magic,classFeature,PHB; XPHB,true,true,,pending,
Fool,card,DMG; XDMG,true,true,,pending,
Forbiddance,spell,PHB; XPHB,true,true,,pending,
Forcecage,spell,PHB; XPHB,true,true,,pending,
Foresight,spell,PHB; XPHB,true,true,,pending,
Forgery Kit,item,PHB; XPHB,true,true,,pending,
Freedom of Movement,spell,PHB; XPHB,true,true,,pending,
Frenzy,subclassFeature,PHB; XPHB,true,true,,pending,
Friendly [Attitude],variantrule,XPHB,false,true,,pending,
Frightened,condition,PHB; XPHB,true,true,,pending,
Frog,monster,MM; XMM,true,true,,pending,
Frost Giant,card; monster,DMG; MM; XMM,true,true,,pending,
Galley,item,DMG; XPHB,true,true,,pending,
Gaming Set,itemGroup,PHB; XPHB,true,true,,pending,
Gargoyle,monster,MM; XMM,true,true,,pending,
Gaseous Form,spell,PHB; XPHB,true,true,,pending,
Gate,spell,PHB; XPHB,true,true,,pending,
Gauntlets of Ogre Power,item,DMG; XDMG,true,true,,pending,
Gaze of Two Minds,optionalfeature,PHB; XPHB,true,true,,pending,
Geas,spell,PHB; XPHB,true,true,,pending,
Gelatinous Cube,monster,MM; XMM,true,true,,pending,
Gem,card,DMG; XDMG,true,true,,pending,
Gem of Brightness,item,DMG; XDMG,true,true,,pending,
Gem of Seeing,item,DMG; XDMG,true,true,,pending,
Generic Object,object,DMG,true,false,,pending,
Gentle Repose,spell,PHB; XPHB,true,true,,pending,
Ghast,monster,MM; XMM,true,true,,pending,
Ghost,monster,MM; XMM,true,true,,pending,
Ghoul,monster,MM; XMM,true,true,,pending,
Giant,language,PHB; XPHB,true,true,,pending,
Giant Ape,monster,MM; XMM,true,true,,pending,
Giant Badger,monster,MM; XMM,true,true,,pending,
Giant Bat,monster,MM; XMM,true,true,,pending,
Giant Boar,monster,MM; XMM,true,true,,pending,
Giant Centipede,monster,MM; XMM,true,true,,pending,
Giant Constrictor Snake,monster,MM; XMM,true,true,,pending,
Giant Crab,monster,MM; XMM,true,true,,pending,
Giant Crocodile,monster,MM; XMM,true,true,,pending,
Giant Eagle,monster,MM; XMM,true,true,,pending,
Giant Elk,monster,MM; XMM,true,true,,pending,
Giant Fire Beetle,monster,MM; XMM,true,true,,pending,
Giant Frog,monster,MM; XMM,true,true,,pending,
Giant Goat,monster,MM; XMM,true,true,,pending,
Giant Hyena,monster,MM; XMM,true,true,,pending,
Giant Insect,monster; spell,PHB; XPHB,true,true,,pending,
Giant Killer,subclassFeature,PHB,true,false,,pending,
Giant Lizard,monster,MM; XMM,true,true,,pending,
Giant Octopus,monster,MM; XMM,true,true,,pending,
Giant Owl,monster,MM; XMM,true,true,,pending,
Giant Poisonous Snake,monster,MM,true,false,,pending,
Giant Rat,monster,MM; XMM,true,true,,pending,
Giant Scorpion,monster,MM; XMM,true,true,,pending,
Giant Sea Horse,monster,MM,true,false,,pending,
Giant Seahorse,monster,XMM,false,true,,pending,
Giant Shark,monster,MM; XMM,true,true,,pending,
Giant Spider,monster,MM; XMM,true,true,,pending,
Giant Toad,monster,MM; XMM,true,true,,pending,
Giant Venomous Snake,monster,XMM,false,true,,pending,
Giant Vulture,monster,MM; XMM,true,true,,pending,
Giant Wasp,monster,MM; XMM,true,true,,pending,
Giant Weasel,monster,MM; XMM,true,true,,pending,
Giant Wolf Spider,monster,MM; XMM,true,true,,pending,
Gibbering Mouther,monster,MM; XMM,true,true,,pending,
Ginger,item,PHB; XDMG,true,true,,pending,
Glabrezu,monster,MM; XMM,true,true,,pending,
Gladiator,monster,MM; XMM,true,true,,pending,
Glaive,baseitem,PHB; XPHB,true,true,,pending,
Glamoured Studded Leather,item,DMG; XDMG,true,true,,pending,
Glass Bottle,item,PHB; XPHB,true,true,,pending,
Glassblower's Tools,baseitem,PHB; XPHB,true,true,,pending,
Glibness,spell,PHB; XPHB,true,true,,pending,
Globe of Invulnerability,spell,PHB; XPHB,true,true,,pending,
Gloves of Missile Snaring,item,DMG; XDMG,true,true,,pending,
Gloves of Swimming and Climbing,item,DMG; XDMG,true,true,,pending,
Gloves of Thievery,item,XDMG,false,true,,pending,
Glyph of Warding,spell,PHB; XPHB,true,true,,pending,
Gnoll,card; monster,DMG; MM,true,false,,pending,
Gnoll Warrior,monster,XMM,false,true,,pending,
Gnome,race,PHB; XPHB,true,true,,pending,
Gnomish,language,PHB; XPHB,true,true,,pending,
Goat,item; monster,MM; PHB; XDMG; XMM,true,true,,pending,
Goblin,card; language; monster,DMG; MM; PHB; XPHB,true,true,,pending,
Goblin Boss,monster,XMM,false,true,,pending,
Goblin Minion,monster,XMM,false,true,,pending,
Goblin Warrior,monster,XMM,false,true,,pending,
Goggles of Night,item,DMG; XDMG,true,true,,pending,
Goibhniu,deity,PHB,true,false,,pending,
Gold,item,PHB; XDMG,true,true,,pending,
Gold Dragon Scale Mail,item,DMG; XDMG,true,true,,pending,
Gold Dragon Wyrmling,monster,MM; XMM,true,true,,pending,
Goliath,race,XPHB,false,true,,pending,
Goodberry,spell,PHB; XPHB,true,true,,pending,
Gorgon,monster,MM; XMM,true,true,,pending,
Grapple,action,PHB,true,false,,pending,
Grappled,condition,PHB; XPHB,true,true,,pending,
Grappler,feat,PHB; XPHB,true,true,,pending,
Grappling,variantrule,XPHB,false,true,,pending,
Grappling Hook,item,PHB; XPHB,true,true,,pending,
Gray Ooze,monster,MM; XMM,true,true,,pending,
Graze,itemMastery,XPHB,false,true,,pending,
Grease,spell,PHB; XPHB,true,true,,pending,
Great Weapon Fighting,feat; optionalfeature,PHB; XPHB,true,true,,pending,
Greataxe,baseitem,PHB; XPHB,true,true,,pending,
Greatclub,baseitem,PHB; XPHB,true,true,,pending,
Greater Divine Intervention,classFeature,XPHB,false,true,,pending,
Greater Invisibility,spell,PHB; XPHB,true,true,,pending,
Greater Restoration,spell,PHB; XPHB,true,true,,pending,
Greatsword,baseitem,PHB; XPHB,true,true,,pending,
Green Dragon Scale Mail,item,DMG; XDMG,true,true,,pending,
Green Dragon Wyrmling,monster,MM; XMM,true,true,,pending,
Green Hag,monster,MM; XMM,true,true,,pending,
Grick,monster,MM; XMM,true,true,,pending,
Griffon,monster,MM; XMM,true,true,,pending,
Grimlock,monster,MM; XMM,true,true,,pending,
Guard,monster,MM; XMM,true,true,,pending,
Guard Captain,monster,XMM,false,true,,pending,
Guardian Naga,monster,MM; XMM,true,true,,pending,
Guardian of Faith,spell,PHB; XPHB,true,true,,pending,
Guards and Wards,spell,PHB; XPHB,true,true,,pending,
Guidance,spell,PHB; XPHB,true,true,,pending,
Guiding Bolt,spell,PHB; XPHB,true,true,,pending,
Gust of Wind,spell,PHB; XPHB,true,true,,pending,
Gynosphinx,monster,MM,true,false,,pending,
Hades,deity,PHB,true,false,,pending,
Halberd,baseitem,PHB; XPHB,true,true,,pending,
Half Plate Armor,baseitem,PHB; XPHB,true,true,,pending,
Half-Dragon,monster,XMM,false,true,,pending,
Half-Elf,race,PHB,true,false,,pending,
Half-Orc,race,PHB,true,false,,pending,
Half-Red Dragon Veteran,monster,MM,true,false,,pending,
Halfling,language; race,PHB; XPHB,true,true,,pending,
Hallow,spell,PHB; XPHB,true,true,,pending,
Hallucinatory Terrain,spell,PHB; XPHB,true,true,,pending,
Hammer,item,PHB,true,false,,pending,
Hammer of Thunderbolts,item,DMG,true,false,,pending,
Hand Crossbow,baseitem,PHB; XPHB,true,true,,pending,
Handaxe,baseitem,PHB; XPHB,true,true,,pending,
Harm,spell,PHB; XPHB,true,true,,pending,
Harpy,monster,MM; XMM,true,true,,pending,
Haste,spell,PHB; XPHB,true,true,,pending,
Hat of Disguise,item,DMG; XDMG,true,true,,pending,
Hat of Many Spells,item,XDMG,false,true,,pending,
Hathor,deity,PHB,true,false,,pending,
Hawk,monster,MM; XMM,true,true,,pending,
Hazard,variantrule,XPHB,false,true,,pending,
Headband of Intellect,item,DMG; XDMG,true,true,,pending,
Heal,spell,PHB; XPHB,true,true,,pending,
Healer's Kit,item,PHB; XPHB,true,true,,pending,
Healing,variantrule,XPHB,false,true,,pending,
Healing Word,spell,PHB; XPHB,true,true,,pending,
Heat Metal,spell,PHB; XPHB,true,true,,pending,
Heavily Obscured,variantrule,XPHB,false,true,,pending,
Heavy Crossbow,baseitem,PHB; XPHB,true,true,,pending,
Hecate,deity,PHB,true,false,,pending,
Heightened Focus,classFeature,XPHB,false,true,,pending,
Heightened Spell,optionalfeature,PHB; XPHB,true,true,,pending,
Hell Hound,monster,MM; XMM,true,true,,pending,
Hellish Rebuke,spell,PHB; XPHB,true,true,,pending,
Helm of Brilliance,item,DMG; XDMG,true,true,,pending,
Helm of Comprehending Languages,item,DMG; XDMG,true,true,,pending,
Helm of Telepathy,item,DMG; XDMG,true,true,,pending,
Helm of Teleportation,item,DMG; XDMG,true,true,,pending,
Help,action,PHB; XPHB,true,true,,pending,
Hempen Rope (50 feet),item,PHB,true,false,,pending,
Hephaestus,deity,PHB,true,false,,pending,
Hera,deity,PHB,true,false,,pending,
Herbalism Kit,item,PHB; XPHB,true,true,,pending,
Hercules,deity,PHB,true,false,,pending,
Hermes,deity,PHB,true,false,,pending,
Heroes' Feast,spell,PHB; XPHB,true,true,,pending,
Heroic Inspiration,variantrule,XPHB,false,true,,pending,
Heroic Warrior,subclassFeature,XPHB,false,true,,pending,
Heroism,spell,PHB; XPHB,true,true,,pending,
Hestia,deity,PHB,true,false,,pending,
Heward's Handy Haversack,item,DMG; XDMG,true,true,,pending,
Hex,spell,XPHB,false,true,,pending,
Hezrou,monster,MM; XMM,true,true,,pending,
Hidden Pit,trap,XDMG,false,true,,pending,
Hide,action,PHB; XPHB,true,true,,pending,
Hide Armor,baseitem,PHB; XPHB,true,true,,pending,
Hide in Plain Sight,classFeature,PHB,true,false,,pending,
High,subrace,PHB,true,false,,pending,
High Jump,variantrule,XPHB,false,true,,pending,
Hill,subrace,PHB,true,false,,pending,
Hill Giant,card; monster,DMG; MM; XMM,true,true,,pending,
Hippogriff,monster,MM; XMM,true,true,,pending,
Hippopotamus,monster,XMM,false,true,,pending,
History,skill,PHB; XPHB,true,true,,pending,
Hit Point Dice,variantrule,XPHB,false,true,,pending,
Hit Points,variantrule,XPHB,false,true,,pending,
Hobgoblin,card; monster,DMG; MM,true,false,,pending,
Hobgoblin Captain,monster,XMM,false,true,,pending,
Hobgoblin Warrior,monster,XMM,false,true,,pending,
Hold Monster,spell,PHB; XPHB,true,true,,pending,
Hold Person,spell,PHB; XPHB,true,true,,pending,
Holy Aura,spell,PHB; XPHB,true,true,,pending,
Holy Nimbus,subclassFeature,PHB; XPHB,true,true,,pending,
Holy Water,item,XPHB,false,true,,pending,
Holy Water (flask),item,PHB,true,false,,pending,
Homunculus,monster,MM; XMM,true,true,,pending,
Hooded Lantern,item,PHB; XPHB,true,true,,pending,
Horde Breaker,subclassFeature,PHB,true,false,,pending,
Horn,baseitem,PHB; XPHB,true,true,,pending,
Horn of Blasting,item,DMG; XDMG,true,true,,pending,
Horn of Valhalla,itemGroup,XDMG,false,true,,pending,
"Horn of Valhalla, Brass",item,DMG; XDMG,true,true,,pending,
"Horn of Valhalla, Bronze",item,DMG; XDMG,true,true,,pending,
"Horn of Valhalla, Iron",item,DMG; XDMG,true,true,,pending,
"Horn of Valhalla, Silver",item,DMG; XDMG,true,true,,pending,
Horned Devil,monster,MM; XMM,true,true,,pending,
Horseshoes of a Zephyr,item,DMG; XDMG,true,true,,pending,
Horseshoes of Speed,item,DMG; XDMG,true,true,,pending,
Hostile [Attitude],variantrule,XPHB,false,true,,pending,
Hourglass,item,PHB,true,false,,pending,
Hover,variantrule,XPHB,false,true,,pending,
Human,race,PHB; XPHB,true,true,,pending,
Hunk of Cheese,item,PHB,true,false,,pending,
Hunter,subclass; subclassFeature,PHB; XPHB,true,true,,pending,
Hunter Shark,monster,MM; XMM,true,true,,pending,
Hunter's Lore,subclassFeature,XPHB,false,true,,pending,
Hunter's Mark,spell,PHB; XPHB,true,true,,pending,
Hunter's Prey,subclassFeature,PHB; XPHB,true,true,,pending,
Hunting Trap,item,PHB; XPHB,true,true,,pending,
Hurl Through Hell,subclassFeature,PHB; XPHB,true,true,,pending,
Hydra,monster,MM; XMM,true,true,,pending,
Hyena,monster,MM; XMM,true,true,,pending,
Hypnotic Pattern,spell,PHB; XPHB,true,true,,pending,
Ice Devil,monster,MM; XMM,true,true,,pending,
Ice Knife,spell,XPHB,false,true,,pending,
Ice Mephit,monster,MM; XMM,true,true,,pending,
Ice Storm,spell,PHB; XPHB,true,true,,pending,
Identify,spell,PHB; XPHB,true,true,,pending,
Idiot,card,DMG,true,false,,pending,
Illusions,variantrule,XPHB,false,true,,pending,
Illusory Script,spell,PHB; XPHB,true,true,,pending,
Imhotep,deity,PHB,true,false,,pending,
Immovable Rod,item,DMG; XDMG,true,true,,pending,
Immunity,variantrule,XPHB,false,true,,pending,
Imp,monster,MM; XMM,true,true,,pending,
Imprisonment,spell,PHB; XPHB,true,true,,pending,
Improved Blessed Strikes,classFeature,XPHB,false,true,,pending,
Improved Brutal Strike,classFeature,XPHB,false,true,,pending,
Improved Critical,subclassFeature,PHB; XPHB,true,true,,pending,
Improved Cunning Strike,classFeature,XPHB,false,true,,pending,
Improved Divine Smite,classFeature,PHB,true,false,,pending,
Improved Elemental Fury,classFeature,XPHB,false,true,,pending,
Improvised Weapons,variantrule,XPHB,false,true,,pending,
Incapacitated,condition,PHB; XPHB,true,true,,pending,
Incendiary Cloud,spell,PHB; XPHB,true,true,,pending,
Incubus,monster,MM; XMM,true,true,,pending,
Indifferent [Attitude],variantrule,XPHB,false,true,,pending,
Indomitable,classFeature,PHB; XPHB,true,true,,pending,
Indomitable (three uses),classFeature,PHB,true,false,,pending,
Indomitable (two uses),classFeature,PHB,true,false,,pending,
