english,zh_tw,category,status,source_paths
Ezmerelda's Retreat,艾絲美拉達的撤退,heading-label,project-proposed,data/12/entries/8/entries/2
F. River Ivlis Crossroads,F.伊夫里斯河路口,heading-label,project-proposed,data/3/entries/14/entries/7
Faded Memories,褪色記憶,heading-label,existing-site,data/21/entries/4/entries/4/entries/1/entries/1
False Trail,歧路,heading-label,project-proposed,data/3/entries/13/entries/0/entries/12
Family Is Forever,血濃於水,heading-label,existing-site,data/21/entries/4/entries/0/entries/2/entries/3
Family Names:,家族名字:,heading-label,existing-site,data/3/entries/8/entries/7/entries/1/items/2
Farewell,告別,heading-label,existing-site,data/21/entries/3/entries/5/entries/1/entries/2
Female Names:,女性名字：,heading-label,existing-site,data/3/entries/8/entries/7/entries/1/items/1
Festival of the Blazing Sun,烈陽慶典,heading-label,project-proposed,data/6/entries/7/entries/1
Fiendish Gift,兇惡的贈禮,heading-label,existing-site,data/21/entries/4/entries/0/entries/2/entries/1
Find Rudolph van Richten,找到魯道夫·範·裡希騰,heading-label,project-proposed,data/2/entries/1/entries/2/entries/2
Finding Artifacts,尋找神器,heading-label,project-proposed,data/1/entries/4/entries/8/entries/2/entries/0/items/0
Fiona's Sons,菲奧娜的兒子們,heading-label,project-proposed,data/6/entries/6/entries/4/entries/3/entries/2
Fiona's Spy,菲奧娜的密探,heading-label,project-proposed,data/6/entries/6/entries/4/entries/3/entries/3
Flaw,缺陷,heading-label,existing-site,data/21/entries/3/entries/0/entries/2/entries/2;data/21/entries/3/entries/2/entries/2/entries/2;data/21/entries/3/entries/5/entries/2/entries/2;data/21/entries/4/entries/0/entries/3/entries/2;data/21/entries/4/entries/1/entries/2/entries/2;data/21/entries/4/entries/2/entries/2/entries/2;data/21/entries/4/entries/5/entries/4/entries/2;data/21/entries/5/entries/0/entries/2/entries/2;data/21/entries/5/entries/1/entries/2/entries/2;data/21/entries/5/entries/4/entries/2/entries/2
Flight of the Vampire,吸血鬼飛偶,heading-label,project-proposed,data/5/entries/7/entries/5/entries/4
Flying Broom,飛行掃帚,heading-label,existing-site,data/21/entries/3/entries/1/entries/3/entries/1
Flying Swords,凌空劍,heading-label,project-proposed,data/5/entries/4/entries/3/entries/8
For the Love of Strahd,為了對施特拉德的愛,heading-label,existing-site,data/21/entries/4/entries/2/entries/1/entries/2
Forceful Presence,盛氣凌人,heading-label,existing-site,data/21/entries/4/entries/4/entries/1/entries/2
Foreshadowing,伏筆,heading-label,project-proposed,data/1/entries/5/entries/3
Foreword: Ravenloft Revisited,前言：重返鴉閣,heading-label,project-proposed,data/0
Fortunes of Ravenloft,魔域天機,heading-label,project-proposed,data/2/entries/2;data/3/entries/14/entries/7/entries/6;data/3/entries/14/entries/8/entries/10;data/3/entries/14/entries/14/entries/9;data/4/entries/5/entries/6/entries/13;data/5/entries/5/entries/8/entries/7;data/5/entries/6/entries/11/entries/4;data/5/entries/7/entries/3/entries/3;data/5/entries/8/entries/5/entries/7;data/5/entries/8/entries/9/entries/5;data/5/entries/9/entries/16/entries/6;data/5/entries/10/entries/6/entries/4;data/5/entries/10/entries/10/entries/4;data/5/entries/11/entries/13/entries/13;data/5/entries/11/entries/13/entries/16;data/5/entries/11/entries/13/entries/41;data/5/entries/11/entries/13/entries/48;data/5/entries/11/entries/13/entries/50;data/5/entries/11/entries/14/entries/5;data/5/entries/11/entries/15/entries/8;data/5/entries/11/entries/17/entries/6;data/6/entries/6/entries/2/entries/7;data/6/entries/6/entries/2/entries/25;data/6/entries/6/entries/3/entries/24;data/6/entries/6/entries/4/entries/19;data/6/entries/6/entries/5/entries/4;data/6/entries/6/entries/9/entries/6;data/6/entries/6/entries/9/entries/15;data/7/entries/7/entries/4/entries/2;data/8/entries/9/entries/37/entries/7;data/8/entries/9/entries/38/entries/9;data/8/entries/9/entries/54/entries/5;data/9/entries/5/entries/5/entries/3;data/9/entries/5/entries/16/entries/4;data/9/entries/5/entries/20/entries/11;data/9/entries/5/entries/30/entries/2;data/10/entries/3/entries/7/entries/3;data/11/entries/7/entries/3/entries/5;data/11/entries/7/entries/4/entries/7;data/11/entries/7/entries/6/entries/4;data/12/entries/7/entries/7/entries/5;data/13/entries/15/entries/11/entries/2;data/14/entries/8/entries/11/entries/3;data/14/entries/8/entries/30/entries/4;data/14/entries/8/entries/52/entries/8;data/15/entries/3/entries/5/entries/6;data/16/entries/10/entries/9/entries/7
From the Tome of Strahd,《施特拉德手記》殘頁,heading-label,project-proposed,data/23/entries/2
Funeral for the Burgomaster,村長的葬禮,heading-label,project-proposed,data/4/entries/5/entries/6/entries/11/entries/8
G. Tser Pool Encampment,G.橡木湖營地,heading-label,project-proposed,data/3/entries/14/entries/8
Garden,種植園,heading-label,existing-site,data/11/entries/7/entries/3/entries/7
Gate Towers,門塔,heading-label,project-proposed,data/5/entries/5/entries/3/entries/4
Ghost,幽魂,heading-label,existing-site,data/3/entries/13/entries/0/entries/13
Ghostly Chanting,幽冥合唱,heading-label,project-proposed,data/19/entries/4/entries/23/entries/1
Giant Skull,巨型頭骨,heading-label,project-proposed,data/11/entries/7/entries/4/entries/4
Giant Spider Cocoon,巨蜘蛛繭,heading-label,project-proposed,data/5/entries/4/entries/3/entries/9
Gifts of Mother Night,夜母的贈禮,heading-label,existing-site,data/21/entries/3/entries/2/entries/1/entries/3
Glider,滑翔機,heading-label,project-proposed,data/5/entries/11/entries/13/entries/22/entries/3
Glyphs,符文,heading-label,project-proposed,data/22/entries/5/entries/4;data/22/entries/6/entries/4
Glyphs (Hearts),符文（紅心）,heading-label,project-proposed,data/2/entries/2/entries/7/entries/4
Goat Pen,羊圈,heading-label,project-proposed,data/11/entries/7/entries/3/entries/8
Gothic Trinkets,哥特風格飾品,heading-label,project-proposed,data/18/entries/1
Graphic Designer,平面設計師,heading-label,project-proposed,data/24/entries/0/items/9;data/24/entries/0/items/20
Grave,墳墓,heading-label,project-proposed,data/3/entries/13/entries/0/entries/14
Green Slime,綠軟泥,heading-label,existing-site,data/3/entries/14/entries/11/entries/3
Guardian Portrait,畫中守衛,heading-label,existing-site,data/21/entries/3/entries/1/entries/4
H. Tser Falls,H.橡木瀑布,heading-label,project-proposed,data/3/entries/14/entries/9
Harpers,豎琴手,heading-label,project-proposed,data/2/entries/3/entries/10/entries/3
Heart of Sorrow,悲痛之心,heading-label,existing-site,data/21/entries/5/entries/2/entries/5
Heart of the Hut,小屋之心,heading-label,existing-site,data/21/entries/3/entries/1/entries/2/entries/2
Hidden Bundle,被藏起來的包袱,heading-label,project-proposed,data/3/entries/13/entries/0/entries/15
Hidden Graves,隱藏的墳墓,heading-label,project-proposed,data/15/entries/3/entries/4/entries/3
High Deck,至高牌組,heading-label,project-proposed,data/2/entries/2/entries/5/entries/2;data/22/entries/4;data/22/entries/6/entries/0
History,歷史,heading-label,existing-site,data/19/entries/3
Horrific Offspring,恐怖後裔,heading-label,existing-site,data/21/entries/4/entries/3/entries/1/entries/3
House Occupants,居民,heading-label,project-proposed,data/4/entries/4/entries/4;data/6/entries/5/entries/5
Human Form,人類形態,heading-label,project-proposed,data/3/entries/13/entries/0/entries/27/entries/5
Humor,幽默,heading-label,project-proposed,data/1/entries/5/entries/8
Hunting Trap,捕獵陷阱,heading-label,existing-site,data/3/entries/13/entries/0/entries/16
Hut Interior,小屋內部,heading-label,existing-site,data/11/entries/7/entries/4/entries/5;data/21/entries/3/entries/1/entries/2/entries/1
I. Black Carriage,I.黑馬車,heading-label,project-proposed,data/3/entries/14/entries/10
Ideal,理念,heading-label,existing-site,data/21/entries/3/entries/0/entries/2/entries/0;data/21/entries/3/entries/2/entries/2/entries/0;data/21/entries/3/entries/5/entries/2/entries/0;data/21/entries/4/entries/0/entries/3/entries/0;data/21/entries/4/entries/1/entries/2/entries/0;data/21/entries/4/entries/2/entries/2/entries/0;data/21/entries/4/entries/5/entries/4/entries/0;data/21/entries/5/entries/0/entries/2/entries/0;data/21/entries/5/entries/1/entries/2/entries/0;data/21/entries/5/entries/4/entries/2/entries/0
Illustrator,插畫師,heading-label,project-proposed,data/24/entries/0/items/21
Imperfections,瑕疵,heading-label,project-proposed,data/21/entries/3/entries/0/entries/1/entries/1
Innate Spells,天生法術,heading-label,existing-site,data/21/entries/3/entries/1/entries/4/entries/2
Inspire,激勵,heading-label,project-proposed,data/2/entries/2/entries/8/entries/2/entries/0
Interior Illustrators,內頁插畫師,heading-label,project-proposed,data/24/entries/0/items/11
Introduction,簡介,heading-label,project-proposed,data/1
Ireena Kolyana Dolls,伊莉娜·考利安娜娃娃,heading-label,project-proposed,data/6/entries/6/entries/7/entries/5/entries/2
Izek Strazni,艾澤克·施特拉茲尼,heading-label,existing-site,data/21/entries/4/entries/0
Izek Strazni's Traits,艾澤克·施特拉茲尼的特質,heading-label,existing-site,data/21/entries/4/entries/0/entries/3
Izek's Doll Collection,艾澤克的玩偶收藏,heading-label,project-proposed,data/6/entries/6/entries/3/entries/14/entries/5
J. Gates of Ravenloft,J.鴉閣城堡大門,heading-label,project-proposed,data/3/entries/14/entries/11
Journal Page,日誌頁面,heading-label,project-proposed,data/8/entries/9/entries/41/entries/3
Journal of Argynvost,奧金弗斯特的日記,heading-label,project-proposed,data/23/entries/5
Journal of Rudolph van Richten,魯道夫·範·裡希騰的日記,heading-label,project-proposed,data/23/entries/3
K. Castle Ravenloft,K.鴉閣城堡,heading-label,project-proposed,data/3/entries/14/entries/12
K1. Front Courtyard,K1.前庭,heading-label,project-proposed,data/5/entries/5/entries/3
K10. Dining Hall,K10.餐廳,heading-label,project-proposed,data/5/entries/6/entries/6
K11. South Archers' Post,K11.南部弓兵駐點,heading-label,project-proposed,data/5/entries/6/entries/7
K12. Turret Post,K12.角樓駐點,heading-label,project-proposed,data/5/entries/6/entries/8
K13. Turret Post Access Hall,K13.塔樓入口過道,heading-label,project-proposed,data/5/entries/6/entries/9
K14. Hall of Faith,K14.信念大廳,heading-label,project-proposed,data/5/entries/6/entries/10
K15. Chapel,K15.聖堂,heading-label,project-proposed,data/5/entries/6/entries/11
K16. North Chapel Access,K16.聖堂北入口,heading-label,project-proposed,data/5/entries/6/entries/12
K17. South Chapel Access,K17.聖堂南入口,heading-label,project-proposed,data/5/entries/6/entries/13
K18. High Tower Staircase,K18.高塔樓梯,heading-label,project-proposed,data/5/entries/6/entries/14
K18a. High Tower Shaft,K18a.高塔豎井,heading-label,project-proposed,data/5/entries/6/entries/15
K19. Grand Landing,K19.大樓梯間,heading-label,project-proposed,data/5/entries/6/entries/16
K2. Center Court Gate,K2.中庭大門,heading-label,project-proposed,data/5/entries/5/entries/4
K20. Heart of Sorrow,K20.悲痛之心,heading-label,project-proposed,data/5/entries/6/entries/17
K20a. Tower Hall Stair,K20a.高塔大廳樓梯,heading-label,project-proposed,data/5/entries/6/entries/18
K21. South Tower Stair,K21.南塔樓梯,heading-label,project-proposed,data/5/entries/6/entries/19
K22. North Archers' Post,K22. 北部弓兵駐點,heading-label,project-proposed,data/5/entries/6/entries/20
K23. Servants' Entrance,K23.僕從入口處,heading-label,project-proposed,data/5/entries/6/entries/21
K24. Servants' Quarters,K24.僕從宿舍,heading-label,project-proposed,data/5/entries/6/entries/22
K25. Audience Hall,K25.謁見大廳,heading-label,project-proposed,data/5/entries/7/entries/3
K26. Guards' Post,K26.守衛駐點,heading-label,project-proposed,data/5/entries/7/entries/4
K27. King's Hall,K27. 國王大廳,heading-label,project-proposed,data/5/entries/7/entries/5
K28. King's Balcony,K28.國王露臺,heading-label,project-proposed,data/5/entries/7/entries/6
K29. Creaky Landing,K29. 吱吱作響的平臺,heading-label,project-proposed,data/5/entries/7/entries/7
K3. Servants' Courtyard,K3.僕從庭院,heading-label,project-proposed,data/5/entries/5/entries/5
K30. King's Accountant,K30.國王賬房,heading-label,project-proposed,data/5/entries/7/entries/8
K31. Trapworks,K31.機關房,heading-label,project-proposed,data/5/entries/7/entries/9
K31a. Elevator Shaft,K31a.升降機豎井,heading-label,project-proposed,data/5/entries/7/entries/10
K31b. Shaft Access,K31b.豎井入口,heading-label,project-proposed,data/5/entries/7/entries/11
K32. Maid in Hell,K32. 地獄中的女僕,heading-label,project-proposed,data/5/entries/7/entries/12
K33. King's Apartment Stair,K33.國王套間樓梯,heading-label,project-proposed,data/5/entries/7/entries/13
K34. Servants' Upper Floor,K34.僕從房間上層,heading-label,project-proposed,data/5/entries/7/entries/14
K35. Guardian Vermin,K35. 蟲群守衛,heading-label,project-proposed,data/5/entries/8/entries/3
K36. Dining Hall of the Count,K36.伯爵用餐處,heading-label,project-proposed,data/5/entries/8/entries/4
K37. Study,K37. 書房,heading-label,project-proposed,data/5/entries/8/entries/5
K38. False Treasury,K38.偽藏寶室,heading-label,project-proposed,data/5/entries/8/entries/6
K39. Hall of Webs,K39.蛛網之間,heading-label,project-proposed,data/5/entries/8/entries/7
K4. Carriage House,K4.馬車房,heading-label,project-proposed,data/5/entries/5/entries/6
K40. Belfry,K40. 鐘樓,heading-label,project-proposed,data/5/entries/8/entries/8
K41. Treasury,K41.藏寶室,heading-label,project-proposed,data/5/entries/8/entries/9
K42. King's Bedchamber,K42. 國王的臥室,heading-label,project-proposed,data/5/entries/8/entries/10
K43. Bath Chamber,K43.盥洗室,heading-label,project-proposed,data/5/entries/8/entries/11
K44. Closet,K44.衣帽間,heading-label,project-proposed,data/5/entries/8/entries/12
K45. Hall of Heroes,K45.英雄長廊,heading-label,project-proposed,data/5/entries/8/entries/13
K46. Parapets,K46. 城垛步道,heading-label,project-proposed,data/5/entries/8/entries/14
K47. Portrait of Strahd,K47.施特拉德的肖像畫,heading-label,project-proposed,data/5/entries/9/entries/3
K48. Offstair,K48.封閉樓梯間,heading-label,project-proposed,data/5/entries/9/entries/4
K49. Lounge,K49.休息室,heading-label,project-proposed,data/5/entries/9/entries/5
K5. Chapel Garden,K5.聖堂花園,heading-label,project-proposed,data/5/entries/5/entries/7
K50. Guest Room,K50.賓客室,heading-label,project-proposed,data/5/entries/9/entries/6
K51. Closet,K51.壁櫥,heading-label,project-proposed,data/5/entries/9/entries/7
K52. Smokestack,K52. 煙囪,heading-label,project-proposed,data/5/entries/9/entries/8
K53. Rooftop,K53. 屋頂,heading-label,project-proposed,data/5/entries/9/entries/9
K54. Familiar Room,K54.魔寵房間,heading-label,project-proposed,data/5/entries/9/entries/10
K55. Element Room,K55.原料室,heading-label,project-proposed,data/5/entries/9/entries/11
K56. Cauldron,K56. 大鍋,heading-label,project-proposed,data/5/entries/9/entries/12
K57. Tower Roof,K57. 塔頂,heading-label,project-proposed,data/5/entries/9/entries/13
K58. Bridge,K58. 橋,heading-label,project-proposed,data/5/entries/9/entries/14
K59. High Tower Peak,K59.高塔頂層,heading-label,project-proposed,data/5/entries/9/entries/15
K6. Overlook,K6.瞭望臺,heading-label,project-proposed,data/5/entries/5/entries/8
K60. North Tower Peak,K60.北塔頂層,heading-label,project-proposed,data/5/entries/9/entries/16
K60a. North Tower Rooftop,K60a.北塔天台,heading-label,project-proposed,data/5/entries/9/entries/17
K61. Elevator Trap,K61.升降梯陷阱,heading-label,project-proposed,data/5/entries/10/entries/4
K62. Servants' Hall,K62.僕從大廳,heading-label,project-proposed,data/5/entries/10/entries/5
K63. Wine Cellar,K63. 酒窖,heading-label,project-proposed,data/5/entries/10/entries/6
K64. Guards' Stair,K64.警衛梯道,heading-label,project-proposed,data/5/entries/10/entries/7
K65. Kitchen,K65. 廚房,heading-label,project-proposed,data/5/entries/10/entries/8
K66. Butler's Quarters,K66. 管家宿舍,heading-label,project-proposed,data/5/entries/10/entries/9
K67. Hall of Bones,K67.白骨大廳,heading-label,project-proposed,data/5/entries/10/entries/10
K68. Guards' Run,K68.警衛過道,heading-label,project-proposed,data/5/entries/10/entries/11
K69. Guards' Quarters,K69.警衛宿舍,heading-label,project-proposed,data/5/entries/10/entries/12
K7. Entry,K7. 入口,heading-label,project-proposed,data/5/entries/6/entries/3
K70. Kingsmen Hall,K70. 王室衛士大廳,heading-label,project-proposed,data/5/entries/10/entries/13
K71. Kingsmen Quarters,K71. 王室衛士宿舍,heading-label,project-proposed,data/5/entries/10/entries/14
K72. Chamberlain's Office,K72.總管辦公室,heading-label,project-proposed,data/5/entries/10/entries/15
K73. Dungeon Hall,K73.地牢走廊,heading-label,project-proposed,data/5/entries/11/entries/1
K74. North Dungeon,K74. 北地牢,heading-label,project-proposed,data/5/entries/11/entries/2
K74a. Forgotten Treasure,K74a. 被遺忘的寶藏,heading-label,project-proposed,data/5/entries/11/entries/2/entries/6
K74b. Forgotten Treasure,K74b. 被遺忘的寶藏,heading-label,project-proposed,data/5/entries/11/entries/2/entries/7
K74c. Rotting Corpse,K74c. 腐爛的屍體,heading-label,project-proposed,data/5/entries/11/entries/2/entries/8
K74d. Empty Cell,K74d. 空牢房,heading-label,project-proposed,data/5/entries/11/entries/2/entries/9
K74e. End of the Ride,K74e. 旅途終點,heading-label,project-proposed,data/5/entries/11/entries/2/entries/10
K74f. Empty Cell,K74f. 空牢房,heading-label,project-proposed,data/5/entries/11/entries/2/entries/11
K74g. Gray Ooze,K74g. 灰泥怪,heading-label,project-proposed,data/5/entries/11/entries/2/entries/12
K74h. Lost Sword,K74h. 遺失的劍,heading-label,project-proposed,data/5/entries/11/entries/2/entries/13
K75. South Dungeon,K75. 南地牢,heading-label,project-proposed,data/5/entries/11/entries/3
K75a. Prisoner,K75a. 囚犯,heading-label,project-proposed,data/5/entries/11/entries/3/entries/3
K75b. Forgotten Treasure,K75b. 被遺忘的寶藏,heading-label,project-proposed,data/5/entries/11/entries/3/entries/4
K75c. Empty Cell,K75c. 空牢房,heading-label,project-proposed,data/5/entries/11/entries/3/entries/5
K75d. Dead Dwarf,K75d. 死去的矮人,heading-label,project-proposed,data/5/entries/11/entries/3/entries/6
K75e. Empty Cell,K75e. 空牢房,heading-label,project-proposed,data/5/entries/11/entries/3/entries/7
K75f. Dead Wizard,K75f. 死去的法師,heading-label,project-proposed,data/5/entries/11/entries/3/entries/8
K75g. Hanging Bard,K75g. 吊死的詩人,heading-label,project-proposed,data/5/entries/11/entries/3/entries/9
K75h. Empty Cell,K75h. 空牢房,heading-label,project-proposed,data/5/entries/11/entries/3/entries/10
K76. Torture Chamber,K76. 拷問室,heading-label,project-proposed,data/5/entries/11/entries/4
K77. Observation Balcony,K77. 觀察陽臺,heading-label,project-proposed,data/5/entries/11/entries/5
K78. Brazier Room,K78. 火盆室,heading-label,project-proposed,data/5/entries/11/entries/6
K79. Western Stair,K79. 西側樓梯,heading-label,project-proposed,data/5/entries/11/entries/7
K8. Great Entry,K8.入口大廳,heading-label,project-proposed,data/5/entries/6/entries/4
K80. Center Stair,K80. 中央樓梯,heading-label,project-proposed,data/5/entries/11/entries/8
K81. Tunnel,K81. 隧道,heading-label,project-proposed,data/5/entries/11/entries/9
K82. Marble Slide,K82.大理石滑槽,heading-label,project-proposed,data/5/entries/11/entries/10
K83. Spiral Stair,K83. 螺旋樓梯,heading-label,project-proposed,data/5/entries/11/entries/11
K83a. Spiral Stair Landing,K83a. 螺旋樓梯平臺,heading-label,project-proposed,data/5/entries/11/entries/12
K84. Catacombs,K84. 地下墓穴,heading-label,project-proposed,data/5/entries/11/entries/13
K85. Sergei's Tomb,K85.謝爾蓋的陵墓,heading-label,project-proposed,data/5/entries/11/entries/14
K86. Strahd's Tomb,K86.施特拉德的陵墓,heading-label,project-proposed,data/5/entries/11/entries/15
K87. Guardians,K87.護衛,heading-label,project-proposed,data/5/entries/11/entries/16
K88. Tomb of King Barov and Queen Ravenovia,K88. 巴羅夫國王和瑞文諾薇雅王后的陵墓,heading-label,project-proposed,data/5/entries/11/entries/17
K9. Guests' Hall,K9.訪客大廳,heading-label,project-proposed,data/5/entries/6/entries/5
Kasimir Velikov,卡西米爾·維里科夫,heading-label,existing-site,data/21/entries/4/entries/1
Kasimir Velikov's Traits,卡西米爾·維里科夫的特質,heading-label,project-proposed,data/21/entries/4/entries/1/entries/2
Kasimir's Dark Gift,卡西米爾的黑暗贈禮,heading-label,project-proposed,data/14/entries/9/entries/2
Keepers of the Feather,羽衛,heading-label,project-proposed,data/6/entries/6/entries/2/entries/6
Khazan's Spell Drain,卡讚的反魔法力場,heading-label,project-proposed,data/12/entries/6/entries/4
Kolyan Indirovich's Letter (version 1),考利安·英迪洛維奇村長的求援信（版本1）,heading-label,project-proposed,data/23/entries/0
Kolyan Indirovich's Letter (version 2),考利安·英迪洛維奇村長的信（版本2）,heading-label,project-proposed,data/23/entries/4
Krezk Lore,克雷茲克傳聞,heading-label,project-proposed,data/9/entries/5/entries/4/entries/4
L. Lake Zarovich,L.扎洛維奇湖,heading-label,project-proposed,data/3/entries/14/entries/13
Lady Wachter's Wish,瓦赫特女士的願望,heading-label,project-proposed,data/6/entries/7/entries/3
Lady of the House,房子的女主人,heading-label,project-proposed,data/6/entries/6/entries/4/entries/3/entries/1
Lair Actions,巢穴動作,heading-label,existing-site,data/21/entries/5/entries/2/entries/6
Landing,平臺,heading-label,project-proposed,data/5/entries/11/entries/7/entries/2
Larders of Ill Omen,不祥的儲藏間,heading-label,project-proposed,data/5/entries/10
Lay of the Land,地形概覽,heading-label,project-proposed,data/3/entries/6
Lead Designer,主設計師,heading-label,project-proposed,data/24/entries/0/items/0
Leader of the Pack,部落領袖,heading-label,project-proposed,data/16/entries/11/entries/1
Level Advancement,等級提升,heading-label,project-proposed,data/19/entries/2
Light,光明,heading-label,existing-site,data/1/entries/5/entries/5
Lighting the Beacon,點亮燈塔,heading-label,project-proposed,data/8/entries/9/entries/54/entries/4
Living Fire,活體火焰,heading-label,existing-site,data/8/entries/9/entries/7/entries/3
Living Image,活體畫像,heading-label,existing-site,data/21/entries/3/entries/1/entries/4/entries/1
Loathsome Limbs,擾人斷肢,heading-label,existing-site,data/21/entries/5/entries/3/entries/1/entries/0
Locked Door,鎖住的門,heading-label,project-proposed,data/19/entries/4/entries/17/entries/1
Locks,鎖,heading-label,project-proposed,data/3/entries/14/entries/3/entries/6/entries/3
Lords' Alliance,領主聯盟,heading-label,project-proposed,data/2/entries/3/entries/10/entries/6
Lost Battlefield,失落的戰場,heading-label,project-proposed,data/11/entries/8/entries/2
M. Mad Mage of Mount Baratok,M.巴拉圖克山的瘋法師,heading-label,project-proposed,data/3/entries/14/entries/14
Madam Eva,伊娃夫人,heading-label,existing-site,data/21/entries/4/entries/2
Madam Eva's Tent,伊娃夫人的帳篷,heading-label,project-proposed,data/3/entries/14/entries/8/entries/8
Madam Eva's Traits,伊娃夫人的特質,heading-label,existing-site,data/21/entries/4/entries/2/entries/2
Magic Items,魔法物品,heading-label,existing-site,data/20/entries/2
Magic Mirror,魔鏡反射,heading-label,project-proposed,data/6/entries/6/entries/3/entries/20/entries/3
Main Floor,主樓面,heading-label,project-proposed,data/5/entries/6
Male Names:,男性名字：,heading-label,existing-site,data/3/entries/8/entries/7/entries/1/items/0
Man with a Plan,謀定而後動,heading-label,existing-site,data/21/entries/5/entries/1/entries/1/entries/2
Managing Editor,主管編輯,heading-label,project-proposed,data/24/entries/0/items/3
March of the Dead,亡者大軍,heading-label,project-proposed,data/4/entries/6/entries/1
Marks of Horror,營造恐怖氣氛,heading-label,project-proposed,data/1/entries/5
Marsh Scarecrows,沼澤稻草人,heading-label,project-proposed,data/11/entries/6/entries/4
Marzena Belview,瑪澤娜·貝爾維,heading-label,existing-site,data/9/entries/5/entries/19/entries/5/entries/4
Mishka Belview,米什卡·貝爾維,heading-label,existing-site,data/9/entries/5/entries/19/entries/2/entries/1
Mists of Ravenloft,鴉閣魔域的迷霧,heading-label,project-proposed,data/3/entries/6/entries/2
Mongrelfolk,混種人,heading-label,existing-site,data/21/entries/4/entries/3
Monster Hunter,怪物獵人,heading-label,existing-site,data/21/entries/5/entries/1/entries/1/entries/0
Morgantha's Coven,摩甘薩的鬼婆集會,heading-label,project-proposed,data/7/entries/4
Mother Nearest,永遠守望的母親,heading-label,existing-site,data/21/entries/3/entries/2/entries/1/entries/1
Mother Night,夜母,heading-label,existing-site,data/21/entries/4/entries/2/entries/1/entries/1
Multiattack,多重攻擊,heading-label,existing-site,data/8/entries/9/entries/53/entries/2/entries/0
Mysterious Visitors,神秘訪客,heading-label,project-proposed,data/2/entries/3/entries/7
N. Town of Vallaki,N.瓦拉吉鎮,heading-label,project-proposed,data/3/entries/14/entries/15
N1. St. Andral's Church,N1.聖安德拉教堂,heading-label,project-proposed,data/6/entries/6/entries/1
N2. Blue Water Inn,N2.藍水旅館,heading-label,project-proposed,data/6/entries/6/entries/2
N2a. Well,N2a.井,heading-label,project-proposed,data/6/entries/6/entries/2/entries/8
N2b. Outside Staircase,N2b. 室外樓梯,heading-label,project-proposed,data/6/entries/6/entries/2/entries/9
N2c. Taproom,N2c. 酒吧間,heading-label,project-proposed,data/6/entries/6/entries/2/entries/10
N2d. Wine Storage,N2d.酒窖,heading-label,project-proposed,data/6/entries/6/entries/2/entries/11
N2e. Kitchen,N2e. 廚房,heading-label,project-proposed,data/6/entries/6/entries/2/entries/12
N2f. Stable,N2f. 馬廄,heading-label,project-proposed,data/6/entries/6/entries/2/entries/13
N2g. Storage,N2g. 儲藏室,heading-label,project-proposed,data/6/entries/6/entries/2/entries/14
N2h. Ravens' Loft,N2h.鴉巢,heading-label,project-proposed,data/6/entries/6/entries/2/entries/15
N2i. Secret Stairs and Hall,N2i. 秘密樓梯與大廳,heading-label,project-proposed,data/6/entries/6/entries/2/entries/16
N2j. Great Balcony,N2j. 大露臺,heading-label,project-proposed,data/6/entries/6/entries/2/entries/17
N2k. Guest Balcony,N2k. 客房陽臺,heading-label,project-proposed,data/6/entries/6/entries/2/entries/18
N2l. Guest Rooms,N2l. 客房,heading-label,project-proposed,data/6/entries/6/entries/2/entries/19
N2m. Guest Room,N2m. 客房,heading-label,project-proposed,data/6/entries/6/entries/2/entries/20
N2n. Private Guest Room,N2n. 私人客房,heading-label,project-proposed,data/6/entries/6/entries/2/entries/21
N2o. Boys' Bedroom,N2o. 男孩們的臥室,heading-label,project-proposed,data/6/entries/6/entries/2/entries/22
N2p. Master Bedroom,N2p. 主臥室,heading-label,project-proposed,data/6/entries/6/entries/2/entries/23
N2q. Secret Attic,N2q. 秘密閣樓,heading-label,project-proposed,data/6/entries/6/entries/2/entries/24
N3. Burgomaster's Mansion,N3.鎮長官邸,heading-label,project-proposed,data/6/entries/6/entries/3
N3a. Entrance Hall and Vestibule,N3a. 入口大廳與門廊,heading-label,project-proposed,data/6/entries/6/entries/3/entries/5
N3b. Parlor,N3b. 客廳,heading-label,project-proposed,data/6/entries/6/entries/3/entries/6
N3c. Dining Room,N3c. 餐廳,heading-label,project-proposed,data/6/entries/6/entries/3/entries/7
N3d. Preparation Room,N3d. 準備間,heading-label,project-proposed,data/6/entries/6/entries/3/entries/8
N3e. Den,N3e. 休息室,heading-label,project-proposed,data/6/entries/6/entries/3/entries/9
N3f. Servants' Quarters,N3f. 僕人住處,heading-label,project-proposed,data/6/entries/6/entries/3/entries/10
N3g. Kitchen,N3g. 廚房,heading-label,project-proposed,data/6/entries/6/entries/3/entries/11
N3h. Pantry,N3h. 食品儲藏室,heading-label,project-proposed,data/6/entries/6/entries/3/entries/12
N3i. Upstairs Gallery,N3i. 二樓走廊,heading-label,project-proposed,data/6/entries/6/entries/3/entries/13
N3j. Izek's Bedroom,N3j. 艾澤克的臥室,heading-label,project-proposed,data/6/entries/6/entries/3/entries/14
N3k. Victor's Bedroom,N3k. 維克托的臥室,heading-label,project-proposed,data/6/entries/6/entries/3/entries/15
N3l. Library,N3l. 圖書館,heading-label,project-proposed,data/6/entries/6/entries/3/entries/16
N3m. Locked Closet,N3m. 上鎖的壁櫥,heading-label,project-proposed,data/6/entries/6/entries/3/entries/17
