english,category,first_page,occurrences,first_context,representative_source,confidence,zh_tw,status,scope,variants,evidence
Elturgard,possible-proper-noun,168,1,data/10/entries/4/entries/3/entries/4,"City Watch members follow a strict code of conduct that makes them one of the most trusted police forces aside from paladin-patrolled Elturgard. As long as you don't engage in unlawful behavior, you can expect to be left untroubled by the Watch.",0.8,艾爾圖加德,project-proposed,contextual,埃爾圖迦德,
Elzerina,possible-proper-noun,115,22,data/7/entries/1,"Victoro and {@creature Ammalia Cassalanter|WDH} struck a deal with Asmodeus, Lord of the Nine Hells. Three years ago, they traded away the souls of their children to escape financial ruin. The soul of their eldest son, Osvaldo, was taken immediately. What was left behind was transformed into a chain devil, which the Cassalanters confined to their attic. Their two youngest children, Terenzio and Elzerina, are doomed to lose their souls when they turn nine years old a mere ten days after Founders' Day, a midsummer festival that celebrates Waterdeep's founding.",0.8,艾爾澤琳娜,project-proposed,contextual,埃爾澤麗娜;艾爾澤莉娜;埃爾澤里娜;埃爾澤里納;埃爾澤瑞娜;埃爾澤裡娜,
Embric,possible-proper-noun,32,5,data/3/entries/3/entries/3/entries/0,"During daylight hours, smoke and steam billow from the many windows around this indoor forge where metal weapons, armor, and tools are made. The forge is owned and operated by a married couple: a fire genasi named {@creature Embric|wdh} and a water genasi named {@creature Avi|wdh}. Both are members of the Most Careful Order of Skilled Smiths and Metalforgers. As an armorer, {@creature Avi|WDH} also belongs to the Splendid Order of Armorers, Locksmiths, and Finesmiths.",0.95,恩布里克,existing-site,contextual,,
Emerald Enclave,possible-proper-noun,14,20,data/1/entries/9/entries/6/entries/1/entries/0,"This adventure includes side quests available only to characters who join the factions described in this adventure. You can use the optional renown rules in chapter 1 of the Dungeon Master's Guide to track a character's rank and ascent within a given faction. The Dungeon Master's Guide gives names for various ranks within the Harpers, the Emerald Enclave, the Lords' Alliance, the Order of the Gauntlet, and the Zhentarim. Rank names for members of Bregan D'aerthe, Force Grey, and the Xanathar Guild are given below, with the renown needed to attain each rank.",0.8,翠綠閒庭,project-proposed,contextual,綠寶石結社;綠寶石聯盟;翠綠之境;翠綠閒庭;翡翠結社;翡翠聯盟;翡翠庭院;翡翠庇護所;翡翠飛地;翡翠結界,
Emmek,possible-proper-noun,42,19,data/3/entries/5/entries/3/name,Business Rival: Emmek Frewn,0.95,埃梅克,existing-site-short-form,contextual,埃姆梅克,
Emmek Frewn,possible-proper-noun,42,5,data/3/entries/5/entries/3/name,Business Rival: Emmek Frewn,0.95,埃梅克·弗倫,existing-site,contextual,,
Emmekt,possible-proper-noun,,0,,,0.8,埃梅克,project-proposed,contextual,,
Endshift,possible-proper-noun,39,4,data/3/entries/4/entries/9/entries/1/entries/2/rows/2/1,"""Guards at the Endshift Tavern, located on Endshift Street in the Field Ward, are being robbed nightly, and the innkeeper says he's seen giant rats prowling around the back alleys. Sounds dull, but it's a plea for help that we can't ignore.""",0.8,收工,project-proposed,contextual,,
Endshift Street,possible-proper-noun,39,2,data/3/entries/4/entries/9/entries/1/entries/2/rows/2/1,"""Guards at the Endshift Tavern, located on Endshift Street in the Field Ward, are being robbed nightly, and the innkeeper says he's seen giant rats prowling around the back alleys. Sounds dull, but it's a plea for help that we can't ignore.""",0.8,收工街,project-proposed,contextual,,
Endshift Tavern,possible-proper-noun,39,2,data/3/entries/4/entries/9/entries/1/entries/2/rows/2/1,"""Guards at the Endshift Tavern, located on Endshift Street in the Field Ward, are being robbed nightly, and the innkeeper says he's seen giant rats prowling around the back alleys. Sounds dull, but it's a plea for help that we can't ignore.""",0.8,收工酒館,project-proposed,contextual,,
Ered,possible-proper-noun,150,3,data/9/entries/3/entries/5/entries/9/entries/2,"The Kolat brothers once took on apprentices, who slept here. {@creature Manshoon|WDH} now allows his own apprentices—Ered Payno, Havi Termock, and Savara Firethorn—to do the same. All three can be found in {@area K15|3fc}.",0.8,埃雷德,project-proposed,contextual,艾瑞德,
Esloon,possible-proper-noun,38,4,data/3/entries/4/entries/8/entries/1/entries/2/rows/2/1,"""The Zhents are courting a Red Wizard of Thay named Esloon Bezant, trying to add his gang of thugs to their ranks. All we know about him is that he fled his homeland a few years back and is too smart to get caught doing anything illegal. He and his gang of bullies prowl the Dock Ward. Scuttle the deal, and do it fast!""",0.8,埃斯盧恩,project-proposed,contextual,艾斯倫,
Esloon Bezant,possible-proper-noun,38,2,data/3/entries/4/entries/8/entries/1/entries/2/rows/2/1,"""The Zhents are courting a Red Wizard of Thay named Esloon Bezant, trying to add his gang of thugs to their ranks. All we know about him is that he fled his homeland a few years back and is too smart to get caught doing anything illegal. He and his gang of bullies prowl the Dock Ward. Scuttle the deal, and do it fast!""",0.8,埃斯盧恩·貝贊特,project-proposed,contextual,艾斯倫·貝散塔林會;艾斯倫·貝贊特,
Esvele,possible-proper-noun,4,25,data/0/entries/5/entries/0/rows/16/0,Esvele Rosznar,0.8,艾絲薇爾,project-proposed,contextual,埃斯維萊;埃斯維爾;埃斯維勒,
Esvele Rosznar,possible-proper-noun,4,6,data/0/entries/5/entries/0/rows/16/0,Esvele Rosznar,0.8,艾絲薇爾·羅茲納爾,project-proposed,contextual,,
Eyecatcher,possible-proper-noun,14,50,data/1/entries/11/entries/5/entries/4,"Bregan D'aerthe is using one of Jarlaxle's legitimate business enterprises-the Sea Maidens Faire-as a front in Waterdeep. The Sea Maidens Faire consists of three carnival ships (the {@i Eyecatcher}, the {@i Heartbreaker}, and the {@i Hellraiser}) crewed by disguised drow and a host of non-drow performers (musicians, acrobats, actors, and the like). The ships' cargo consists mostly of wagons and floats that can be hastily assembled and paraded through the city. The drow use these parades to draw attention away from their illicit activities.",0.8,奪目號,project-proposed,contextual,搶眼人物;搶眼者;眼球捕捉者;吸引眼球者,
Faerrel,possible-proper-noun,20,5,data/1/entries/12/entries/5/entries/5/entries/2,"Jalester is often distracted by thoughts of Faerrel Dunblade, his boyfriend, who was killed in a street fight last year. When not engaged in alliance business, Jalester is lonely and looking for love.",0.8,費瑞爾,project-proposed,contextual,,
Faerrel Dunblade,possible-proper-noun,20,2,data/1/entries/12/entries/5/entries/5/entries/2,"Jalester is often distracted by thoughts of Faerrel Dunblade, his boyfriend, who was killed in a street fight last year. When not engaged in alliance business, Jalester is lonely and looking for love.",0.8,費瑞爾·鄧布萊德,project-proposed,contextual,,
Faerûn,possible-proper-noun,120,4,data/7/entries/7/entries/5/entries/8/entries/3/entries/0,The small book on the side table is a journal that {@creature Victoro Cassalanter|WDH} uses to take notes while reading. It mostly contains dry observations on atlases of Faerûn and history books. A character who flips through the journal and succeeds on a {@dc 15} Intelligence (Investigation) check can pick out a few notes made by Victoro that are unrelated to his reading:,0.8,費倫,project-proposed,contextual,法恩,
Fala,possible-proper-noun,4,27,data/0/entries/5/entries/0/rows/17/0,{@creature Fala Lefaliir|WDH},0.95,法拉,existing-site-short-form,contextual,,
Fala Lefaliir,possible-proper-noun,4,7,data/0/entries/5/entries/0/rows/17/0,{@creature Fala Lefaliir|WDH},0.95,法拉·勒法利爾,existing-site,contextual,法拉·勒法利爾,
Fel'rekt,possible-proper-noun,4,29,data/0/entries/5/entries/0/rows/18/0,{@creature Fel'rekt Lafeen|WDH},0.8,菲爾萊科特,project-proposed,contextual,費爾雷克特;費爾雷克;菲爾雷克特,
Fel'rekt Lafeen,possible-proper-noun,4,17,data/0/entries/5/entries/0/rows/18/0,{@creature Fel'rekt Lafeen|WDH},0.95,菲爾萊科特·拉菲恩,existing-site,contextual,菲爾萊科特·拉菲恩,
Felzoun's Folly,possible-proper-noun,38,1,data/3/entries/4/entries/7/entries/3/entries/2/rows/1/1,"""Uza Solizeph is an old woman who sells books out of a narrow three-story building on Sorn Street in the Trades Ward. She claims to have trapped a monster in her shop and fears for the welfare of her books and her cat. The City Watch isn't likely to lend a hand, given Uza's propensity for tall tales, but the Harpers owe her a favor. You'll find her sobbing at Felzoun's Folly, a tavern on the corner of Sorn Street and Salabar Street. Make haste!""",0.8,費爾佐恩的荒唐事,project-proposed,contextual,,
Fenerus,possible-proper-noun,4,51,data/0/entries/5/entries/0/rows/19/0,Fenerus Stormcastle,0.8,費內魯斯,project-proposed,contextual,費納魯斯;費內羅斯;費內魯;菲納魯斯,
Fenerus Stormcastle,possible-proper-noun,4,10,data/0/entries/5/entries/0/rows/19/0,Fenerus Stormcastle,0.8,費內魯斯·風暴堡,project-proposed,contextual,費納魯斯·風暴堡壘;費內魯斯·風暴城堡;費內魯斯·斯托姆卡斯,
Fergus Crabwater,possible-proper-noun,132,1,data/8/entries/3/entries/4/entries/1/entries/1,"Velgos Ephezzrin captains the {@i Hellraiser} in the guise of a human named Fergus Crabwater. He enjoys wine a little too much, and characters have advantage on Charisma checks made to interact with him during a meal.",0.8,弗格斯·克拉布沃特,project-proposed,contextual,,
Field Ward,possible-proper-noun,39,24,data/3/entries/4/entries/9/entries/1/entries/2/rows/0/1,"""We hear that the Zhents are paying gangs in the Field Ward to attack suspected Xanathar Guild members. Fights are breaking out in the ward daily. Stop a fight before it happens. We need to send a message to these thugs that further altercations won't be tolerated.""",0.8,原野區,project-proposed,contextual,野地區;田野區;菲爾德區;野區,
Figurehead,possible-proper-noun,134,1,data/8/entries/3/entries/7/entries/9/entries/1/name,Figurehead,0.95,船首像,existing-site,contextual,船首像,
Fillet Lane,possible-proper-noun,23,4,data/2/entries/3/entries/4/entries/0,"Volo last saw Floon outside the Skewered Dragon, a dubious (and Zhentarim-owned) tavern between Net Street and Fillet Lane in the Dock Ward. The following encounters kick off the characters' investigation.",0.8,魚片巷,project-proposed,contextual,菲萊特巷,
Fillipa,possible-proper-noun,38,2,data/3/entries/4/entries/7/entries/3/entries/2/rows/1/2,"Uza (LG female human Mulan {@creature commoner}) describes the threat as a ""monstrous orb of many eyes"" that chased her cat, Fillipa, into the shop. The monster is, in fact, a {@creature gazer|VGM} (see {@adventure appendix B|WDH|12}). If the characters met a gazer in chapter 1, they know what they're up against. Uza lends them the keys to the front and back doors of her shop. Characters find the interior in shambles and hear a cat meowing on the third floor. The sounds are coming from the gazer, which is hunting Fillipa. The cat has so far eluded the nasty little predator. {@i Reward}: Each Harper character gains 1 renown if the gazer is defeated. Uza also gives the party a used spellbook containing four {@filter 1st-level|spells|class=wizard|level=1} and three {@filter 2nd-level|spells|class=wizard|level=2} wizard spells.",0.8,菲莉帕,project-proposed,contextual,,
Fishgut Alley,possible-proper-noun,29,1,data/2/entries/16/entries/0,"An innocent halfling family, the Peabodys, brews beer in this cellar, which lies beneath their home on Fishgut Alley in the Dock Ward. Their cellar contains brewing supplies and lots of worthless clutter.",0.8,魚腸巷,project-proposed,contextual,,
Flamerule,possible-proper-noun,4,6,data/0/entries/5/entries/0/rows/20/0,Flamerule (month),0.8,弗萊姆魯爾,project-proposed,contextual,烈焰統治月;焰拳月,
Floon,possible-proper-noun,4,59,data/0/entries/5/entries/0/rows/21/0,{@creature Floon Blagmaar|WDH},0.95,福盧恩,existing-site-short-form,contextual,弗倫;弗隆;弗盧恩;弗龍,
Floon Blagmaar,possible-proper-noun,4,12,data/0/entries/5/entries/0/rows/21/0,{@creature Floon Blagmaar|WDH},0.95,福盧恩·布拉格瑪,existing-site,contextual,福盧恩·布拉格瑪,
Flutterfoot,possible-proper-noun,104,4,data/6/entries/7/entries/4/entries/9/entries/2/entries/0,"The garishly dressed deep gnome, Flutterfoot Zipswiggle, serves {@creature Xanathar|WDH} as a jester. He carries a packet containing {@item dust of disappearance}. Unknown to Flutterfoot, the beholder has tired of the gnome and plans to turn him to stone when next they meet.",0.8,翩足,project-proposed,contextual,,
Flutterfoot Zipswiggle,possible-proper-noun,104,1,data/6/entries/7/entries/4/entries/9/entries/2/entries/0,"The garishly dressed deep gnome, Flutterfoot Zipswiggle, serves {@creature Xanathar|WDH} as a jester. He carries a packet containing {@item dust of disappearance}. Unknown to Flutterfoot, the beholder has tired of the gnome and plans to turn him to stone when next they meet.",0.8,翩足·吉普斯威格,project-proposed,contextual,,
Footlockers,possible-proper-noun,144,1,data/8/entries/4/entries/5/entries/9/entries/1/name,Footlockers,0.95,腳鎖箱,existing-site,contextual,腳鎖箱,
For'zaal,possible-proper-noun,121,1,data/7/entries/7/entries/5/entries/14/entries/3,"The head chef, {@creature Jandar Chergoba|wdh} (see ""Head Servants,""), oversees six chefs (human {@creature commoner||commoners}). If Jandar believes the characters are a threat, he shouts ""For'zaal,"" causing ten knives to magically rise from the counters and attack. These knives are {@creature flying sword||flying swords} that deal 4 ({@dice 1d6 + 1}) piercing damage on a hit.",0.8,弗爾札爾,project-proposed,contextual,,
Force Field,heading/rule,148,4,data/9/entries/3/entries/3/name,Force Field,0.95,防禦力場,existing-site,heading-only,防禦力場,
Force Grey,possible-proper-noun,14,28,data/1/entries/9/entries/6/entries/1/entries/0,"This adventure includes side quests available only to characters who join the factions described in this adventure. You can use the optional renown rules in chapter 1 of the Dungeon Master's Guide to track a character's rank and ascent within a given faction. The Dungeon Master's Guide gives names for various ranks within the Harpers, the Emerald Enclave, the Lords' Alliance, the Order of the Gauntlet, and the Zhentarim. Rank names for members of Bregan D'aerthe, Force Grey, and the Xanathar Guild are given below, with the renown needed to attain each rank.",0.8,灰色力量,project-proposed,contextual,力量灰;灰軍,
Freth,possible-proper-noun,110,1,data/6/entries/7/entries/4/entries/26/entries/2/entries/2,"The mind flayer has telepathically interrogated Zaibon and learned about a House Auvryndar plot to conquer Skullport, as well as mounting tensions between the drow houses of Auvryndar and Freth. The mind flayer is getting ready to implant an intellect devourer in Zaibon's skull, then use him to undermine the drow plot and foment war between the drow houses. (Were Zaibon less useful, the mind flayer would have extracted his brain and turned it into an intellect devourer instead.) Zaibon knows nothing of the fate that awaits him.",0.8,弗雷斯,project-proposed,contextual,,
Frewn's Brews,possible-proper-noun,42,1,data/3/entries/5/entries/3/entries/0,"{@creature Emmek Frewn|WDH}, a salty northerner (NE male Illuskan {@creature commoner}), recently tried to buy the tavern in Trollskull Alley but was outbid by Volothamp Geddarm. Stung by the loss, he bought a smaller, less impressive building in the same alley and turned it into a pub, which he calls Frewn's Brews. If you decide to introduce Emmek as a business rival, choose an unmarked building on map 2.1 to serve as the pub.",0.8,弗倫釀坊,project-proposed,contextual,福盧恩的釀造,Emmek Frewn's business; distinct from Floon Blagmaar.
Fuoco,possible-proper-noun,4,18,data/0/entries/5/entries/0/rows/0/0,Agorn Fuoco,0.8,弗奧科,project-proposed,contextual,福科,
Game Statistics,possible-proper-noun,194,20,data/12/entries/4/entries/4/name,Game Statistics,0.95,遊戲資料,existing-site,contextual,遊戲資料,
Garloth,possible-proper-noun,57,16,data/5/entries/2/entries/1/items/0,"If {@creature Xanathar|WDH} is the villain, the stone is delivered to a mage named {@creature Grinda Garloth|WDH}. She owns an {@item apparatus of Kwalish} and lives in Mistshore, a seedy neighborhood built on a dock in the Dock Ward.",0.8,加洛斯,project-proposed,contextual,,
Garshoogah,possible-proper-noun,111,1,data/6/entries/7/entries/4/entries/30/entries/3/entries/0,"The figurine on the pedestal is crudely fashioned out of clay. It has the head of a hammerhead shark, the upper torso of a bare-chested male, dragon wings sprouting from its shoulders, and octopus tentacles where its legs should be. The kuo-toa modeled it after an imaginary god they call Garshoogah.",0.8,加爾舒加,project-proposed,contextual,,
Gaxly,possible-proper-noun,35,5,data/3/entries/4/entries/4/entries/2/entries/3/rows/1/1,"""This mission is so easy, a gang of street urchins could pull it off. I want you to deliver an exposé to Gaxly Rudderbust, the publisher of a local broadsheet called {@i The Waterdeep Wazoo}, without his knowing who wrote it or where it came from. You'll find his office at the corner of Immar Street and Stallion Street, in the North Ward. Leave the story on his desk.""",0.8,蓋克斯利,project-proposed,contextual,加克斯利,
Gaxly Rudderbust,possible-proper-noun,35,2,data/3/entries/4/entries/4/entries/2/entries/3/rows/1/1,"""This mission is so easy, a gang of street urchins could pull it off. I want you to deliver an exposé to Gaxly Rudderbust, the publisher of a local broadsheet called {@i The Waterdeep Wazoo}, without his knowing who wrote it or where it came from. You'll find his office at the corner of Immar Street and Stallion Street, in the North Ward. Leave the story on his desk.""",0.8,蓋克斯利·魯德巴斯特,project-proposed,contextual,加克斯利·魯德巴斯特,
Gazer,possible-proper-noun,27,5,data/2/entries/6/entries/1/entries/3/name,Gazer Guard,0.95,凝視者眼魔,existing-site,contextual,凝視者眼魔;凝視怪;凝視獸,
Glyph of Warding,possible-proper-noun,71,1,data/5/entries/7/entries/7/entries/3/name,Glyph of Warding,0.95,守衛刻文,existing-site,contextual,守衛刻文,
Goals,possible-proper-noun,42,1,data/3/entries/5/entries/3/entries/3/name,Goals,0.95,目標,existing-site,contextual,目標,
Goblins,possible-proper-noun,112,1,data/6/entries/7/entries/4/entries/31/entries/3/name,Goblins,0.95,地精,existing-site,contextual,地精;哥布林,
Goldenfields,possible-proper-noun,197,1,data/12/entries/8/entries/1,"The City Guard is Waterdeep's army, charged with protecting the city's walls and {@spell gate||gates}, government buildings, harbor, and officials. The City Guard also patrols the roads to Amphail, Goldenfields, and Daggerford.",0.8,金色原野,project-proposed,contextual,,
Goldenight,possible-proper-noun,185,1,data/10/entries/6/entries/5/entries/6/entries/0,"This festival has long gathered a number of older holidays under one name, stretching those celebrations into a holiday season that lasts a tenday. Among the rituals in homage to the goddess of wealth and trade are these: {@b Caravance (Tarsahk 1}). This gift-giving holiday commemorates the traditional arrival of the first caravans of the season into the city. Many parents hide gifts for their offspring in their homes, telling the children that they were left by Old Carvas—a mythical peddler who arrived with the first caravan to reach Waterdeep, his wagon loaded down with toys for children to enjoy. {@b Goldenight (Tarsahk 5}). This festival celebrates coin and {@item gold|PHB}, with many businesses staying open all night, offering midnight sales and other promotions. Some celebrants and customers decorate themselves with gold dust and wear coins as jewelry. {@b Guildsmeet (Tarsahk 7}). On this holiday, guild members gather in their halls for the announcement of new policies and a celebration of business concluded for the year. These gatherings culminate in a gala festival and dance sponsored by several guilds, which lasts from dusk till dawn and overruns the Market, the Cynosure, the Field of Triumph, and all areas in between. {@b Leiruin (Tarsahk 10}). In times long past, Waukeen caught Leira, the goddess of illusions and deception, attempting to cheat her in a deal, and buried her under a mountain of molten gold as punishment. A commemoration of that event, Leiruin is the day for guild members to pay their annual dues and for guildmasters to meet with the Lords of Waterdeep and renew their charters for another year.",0.8,金夜節,project-proposed,contextual,,
Golorr,possible-proper-noun,5,137,data/1/entries/2/entries/2/entries/0,"In Waterdeep, a gold coin is called a dragon. Before he was ousted from his position as the Open Lord of Waterdeep, Dagult Neverember embezzled half a million dragons and hid them in a secret vault. As a security precaution, he arranged for all knowledge of the vault's location and defenses to be magically erased from his mind and the minds of his subordinates. The wizard who performed the procedure trapped this knowledge within an artifact called the {@item Stone of Golorr|WDH}. The wizard disappeared shortly thereafter, and Dagult hid the stone in the Palace of Waterdeep.",0.8,格洛爾,project-proposed,contextual,,
Gond,possible-proper-noun,44,11,data/4/entries/5/entries/3/entries/1,"The Gralhunds' assassin is a {@creature nimblewright|wdh} (see {@adventure appendix B|WDH|12}) that escaped from the House of Inspired Hands, the temple of Gond in the Sea Ward, a month ago. The construct hitched a ride on House Gralhund's coach. {@creature Yalah Gralhund|WDH} befriended it, offered it shelter, and used it as a servant until she and her husband found a more sinister use for it.",0.95,貢德,existing-site,contextual,岡德,
Goodwoman,possible-proper-noun,172,1,data/10/entries/4/entries/9/entries/0/entries/3,"If you're not certain whether someone is a noble, address the gentleman as ""Saer"" or the gentlewoman as ""Goodwoman."" Neither will give offense, and generally a noble will politely correct you as to their actual title.",0.8,女士,project-proposed,contextual,,
Gorath,possible-proper-noun,70,1,data/5/entries/7/entries/4/entries/3/entries/0,"As the characters leave the mausoleum, they are jumped by four {@creature duergar}, members of the Xanathar Guild, who slipped past the cemetery guards using their invisibility. The leader, Gorath, accosts the characters in Dwarvish, demands the {@item Stone of Golorr|WDH}, and refuses to believe that they don't have it. If the stone isn't turned over to them promptly, the duergar enlarge themselves and attack. {@creature Xanathar|WDH} watches the battle unfold through the eyes of a gazer (see {@adventure appendix B|WDH|12}), which stays out of the fight and tries to remain unseen.",0.8,戈拉斯,project-proposed,contextual,,
Gralhund,possible-proper-noun,4,112,data/0/entries/5/entries/0/rows/55/0,{@creature Orond Gralhund|WDH},0.8,格勞洪德,project-proposed,contextual,格拉爾洪德;格拉漢德;格拉爾hund;格拉爾亨德;格拉爾胡德;格拉爾洪;格拉倫特;格拉倫德;格拉亨德;格拉胡德;葛拉洪德,
Gralhund Villa,possible-proper-noun,43,24,data/4/entries/5/entries/2/entries/0,"Three members of the Black Network, including the Zhent assassin {@creature Urstul Floxin|wdh} (see {@adventure appendix B|WDH|12}), were close to nabbing Dalakhar when they were caught in the blast. Of the three, only Urstul survived. Though he was wounded, he was able to pluck the {@item Stone of Golorr|WDH} from Dalakhar's pocket before fleeing the scene. While other survivors were coming to their senses, Urstul stumbled through the smoke and haze and eventually made his way back to Gralhund Villa a short distance away.",0.8,格勞洪德別墅,project-proposed,contextual,格拉漢德莊園,
Gralhunds,possible-proper-noun,44,20,data/4/entries/5/entries/3/entries/0,"The heads of the Gralhund noble family, {@creature Yalah Gralhund|wdh} and her husband, {@creature Orond Gralhund|wdh|Orond}, are providing coin and shelter to Urstul and his fellow Zhents in exchange for the promise of getting their fair share of the hidden cache of gold. But the Gralhunds aren't willing to put their trust entirely in the Black Network; they sent out their own agent to shadow the Zhents, eliminate Dalakhar, and obtain the {@item Stone of Golorr|WDH} on their behalf. Yalah gave the would-be assassin a {@item necklace of fireballs} with instructions on how and when to use it. When it seemed as though Dalakhar might give {@creature Urstul Floxin|wdh} the slip, this agent hurled one of the beads from the necklace to stop the gnome in his tracks.",0.8,格勞洪德家族,project-proposed,contextual,,
Gralkyn's Tankard,possible-proper-noun,183,1,data/10/entries/6/entries/3/entries/5/entries/0,"This walking statue stopped its rampage as it approached the Market, then fell backward and sat upon a building. When it settled, its arms fell limp at its sides and its head tilted forward onto its chest, giving the impression that it had fallen asleep. The statue's huge stone battleaxe still stands nearby, its haft angled upright and its blade half buried in the cobbles. The rubble of the crushed building was long ago rebuilt into a broad stone stair (with railings and a ramp that drunkards are often rolled down) that ascends from the cobbles to the statue's lap. That lap now holds a two-story tavern also built from the rubble, called Gralkyn's Tankard. The {@condition unconscious} pose of the statue and the tavern in its lap made the name of the Great Drunkard a natural fit.",0.8,格拉爾金的酒杯,project-proposed,contextual,,
Gray Hands,possible-proper-noun,16,9,data/1/entries/11/entries/7/entries/0,"To join Force Grey, one must first become a member of the Gray Hands. An individual who has served in the City Watch or the City Guard is eligible to join, as are characters who are willing to swear oaths to defend Waterdeep, its citizens, and its laws with their lives. Adventurers who show promise might be invited to join the Gray Hands, a faction overseen by the Blackstaff, {@creature Vajra Safahr|WDH}. Members of the Gray Hands complete assignments dictated by Vajra.",0.8,灰手,project-proposed,contextual,,
Grinda,possible-proper-noun,57,28,data/5/entries/2/entries/1/items/0,"If {@creature Xanathar|WDH} is the villain, the stone is delivered to a mage named {@creature Grinda Garloth|WDH}. She owns an {@item apparatus of Kwalish} and lives in Mistshore, a seedy neighborhood built on a dock in the Dock Ward.",0.95,格林達,existing-site-short-form,contextual,格琳達,
Grinda Garloth,possible-proper-noun,57,11,data/5/entries/2/entries/1/items/0,"If {@creature Xanathar|WDH} is the villain, the stone is delivered to a mage named {@creature Grinda Garloth|WDH}. She owns an {@item apparatus of Kwalish} and lives in Mistshore, a seedy neighborhood built on a dock in the Dock Ward.",0.95,格林達·加洛斯,existing-site,contextual,,
Groz,possible-proper-noun,104,1,data/6/entries/7/entries/4/entries/8/entries/1/rows/0/1,"A male half-ogre named Groz, a minotaur named Umpok, and a female orog named Charworl",0.8,格羅茲,project-proposed,contextual,,
Grum'shar,possible-proper-noun,27,11,data/2/entries/6/entries/1/entries/3/entries/2,"A hostile {@creature gazer|VGM} (see {@adventure appendix B|WDH|12}) that is in league with {@creature Grum'shar|wdh}, the local Xanathar Guild boss, guards this intersection. Once the characters defeat it, they can press on, following the corridor where the chalk symbol is located; they reach the hideout after following the correct tunnel for 5 minutes.",0.95,格魯姆沙,existing-site,contextual,,
Guts & Garters Inn,possible-proper-noun,102,1,data/6/entries/7/entries/4/entries/5/entries/0,"This magically lit tunnel extends 300 feet eastward off the map. It ends at a staircase that climbs 20 feet to the Guts & Garters Inn, an establishment located in the subterranean town of Skullport, which is under {@creature Xanathar|WDH}'s control. See {@i Waterdeep: Dungeon of the Mad Mage} for more information on the inn and Skullport.",0.8,膽腸與吊襪帶旅店,project-proposed,contextual,,
Gysheer,possible-proper-noun,39,2,data/3/entries/4/entries/9/entries/1/entries/2/rows/3/2,"The characters must help Savra defeat five {@creature spined devil||spined devils}, which have locals pinned down in nearby buildings. Right afterward, Gysheer Omfreys (LE female Tethyrian human {@creature cult fanatic}) emerges from an alley and attacks Savra. Gysheer is an overzealous member of a devil-worshiping cult led by {@creature Victoro Cassalanter|WDH} (see {@adventure appendix B|WDH|12}). Savra tries to subdue and question her, but only magical compulsion can force her to implicate Victoro. Since devil worship isn't illegal in Waterdeep, Savra has no grounds to stir up trouble with the Cassalanters, and she advises characters not to do so, either. {@i Reward}: Each Order of the Gauntlet character gains 2 renown. Every character who took part receives a {@item potion of greater healing}.",0.8,吉希爾,project-proposed,contextual,,
Gysheer Omfreys,possible-proper-noun,39,1,data/3/entries/4/entries/9/entries/1/entries/2/rows/3/2,"The characters must help Savra defeat five {@creature spined devil||spined devils}, which have locals pinned down in nearby buildings. Right afterward, Gysheer Omfreys (LE female Tethyrian human {@creature cult fanatic}) emerges from an alley and attacks Savra. Gysheer is an overzealous member of a devil-worshiping cult led by {@creature Victoro Cassalanter|WDH} (see {@adventure appendix B|WDH|12}). Savra tries to subdue and question her, but only magical compulsion can force her to implicate Victoro. Since devil worship isn't illegal in Waterdeep, Savra has no grounds to stir up trouble with the Cassalanters, and she advises characters not to do so, either. {@i Reward}: Each Order of the Gauntlet character gains 2 renown. Every character who took part receives a {@item potion of greater healing}.",0.8,吉希爾·奧姆弗雷斯,project-proposed,contextual,,
Halaster,possible-proper-noun,147,6,data/9/entries/1,"{@creature Manshoon|WDH} yearns to rule Waterdeep as a tyrant, take over the Zhentarim, and use both seats of power to plunder and control the Sword Coast. He needs the gold in the Vault of Dragons to pay off Masked Lords and Zhentarim leaders whose support will be instrumental when the time comes to oust Lady {@creature Laeral Silverhand|WDH} as Open Lord. {@creature Manshoon|WDH} has a long list of powerful enemies, among them the Harpers, Elminster of Shadowdale, Halaster Blackcloak of Undermountain, and the Blackstaff of Waterdeep. These enemies would quickly move against {@creature Manshoon|WDH} if they learned he was hiding in Waterdeep. For his evil plans to succeed, {@creature Manshoon|WDH} must operate in the shadows for the time being.",0.8,海拉斯特,project-proposed,contextual,哈拉斯特,
Harpers,possible-proper-noun,14,40,data/1/entries/9/entries/6/entries/1/entries/0,"This adventure includes side quests available only to characters who join the factions described in this adventure. You can use the optional renown rules in chapter 1 of the Dungeon Master's Guide to track a character's rank and ascent within a given faction. The Dungeon Master's Guide gives names for various ranks within the Harpers, the Emerald Enclave, the Lords' Alliance, the Order of the Gauntlet, and the Zhentarim. Rank names for members of Bregan D'aerthe, Force Grey, and the Xanathar Guild are given below, with the renown needed to attain each rank.",0.8,豎琴手聯盟,project-proposed,contextual,豎琴手;哈珀組織;哈珀,
Hassantyr,possible-proper-noun,13,2,data/1/entries/9/entries/4/entries/1/entries/1/entries/0,"The Amcathras are a Tethyrian family that specializes in horse breeding and training, cattle ranching, wine-making, and weaponsmithing. The family motto is ""We trample our troubles."" The family has a large villa in the North Ward, on the east side of the High Road between Hassantyr's Street and Tarnath Street.",0.8,哈桑提爾,project-proposed,contextual,,
