english,category,classes,subclasses,sources,editions,occurrences,first_file,first_json_pointer,representative_context,proposed_zh_tw,alternative_zh_tw,status,translation_source,confidence,notes,final_zh_tw,final_source
Protector,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/25/name,class-feature: Protector,,,pending,,0.50,,保護者,shuaishuaidnd.cn + OpenCC s2twp
Psionic Body,class-feature,Mystic,,UATheMysticClass,classic-or-other,1,data/class/class-mystic.json,/classFeature/22/name,class-feature: Psionic Body,,,pending,,0.50,,靈能之軀,shuaishuaidnd.cn + OpenCC s2twp
Psionic Disciplines and Talents,class-feature,Mystic,,UATheMysticClass,classic-or-other,1,data/class/class-mystic.json,/classFeature/1/name,class-feature: Psionic Disciplines and Talents,,,pending,,0.50,,靈能靈術與天賦,shuaishuaidnd.cn + OpenCC s2twp
Psionic Mastery (1/Day),class-feature,Mystic,,UATheMysticClass,classic-or-other,1,data/class/class-mystic.json,/classFeature/13/name,class-feature: Psionic Mastery (1/Day),,,pending,,0.50,,靈能精通（1/日）,shuaishuaidnd.cn + OpenCC s2twp
Psionic Mastery (2/Day),class-feature,Mystic,,UATheMysticClass,classic-or-other,1,data/class/class-mystic.json,/classFeature/15/name,class-feature: Psionic Mastery (2/Day),,,pending,,0.50,,靈能精通（1/日）,shuaishuaidnd.cn + OpenCC s2twp
Psionic Mastery (3/Day),class-feature,Mystic,,UATheMysticClass,classic-or-other,1,data/class/class-mystic.json,/classFeature/18/name,class-feature: Psionic Mastery (3/Day),,,pending,,0.50,,靈能精通（3/日）,shuaishuaidnd.cn + OpenCC s2twp
Psionic Mastery (4/Day),class-feature,Mystic,,UATheMysticClass,classic-or-other,1,data/class/class-mystic.json,/classFeature/20/name,class-feature: Psionic Mastery (4/Day),,,pending,,0.50,,靈能精通（4/日）,shuaishuaidnd.cn + OpenCC s2twp
Psionics,class-feature,Mystic,,UATheMysticClass,classic-or-other,1,data/class/class-mystic.json,/classFeature/2/name,class-feature: Psionics,,,pending,,0.50,,靈能,shuaishuaidnd.cn + OpenCC s2twp
Purity of Body,class-feature,Monk,,PHB,classic-or-other,1,data/class/class-monk.json,/classFeature/23/name,class-feature: Purity of Body,百病不侵,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,百病不侵,5eclone.pingstudio.tw (legacy exact ENG_name match)
Quickened Healing,class-feature,Monk,,TCE,classic-or-other,1,data/class/class-monk.json,/classFeature/12/name,class-feature: Quickened Healing,加速癒合,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,加速癒合,5eclone.pingstudio.tw (legacy exact ENG_name match)
Radiant Strikes,class-feature,Paladin,,XPHB,one,1,data/class/class-paladin.json,/classFeature/40/name,class-feature: Radiant Strikes,,,pending,,0.50,,光耀打擊,shuaishuaidnd.cn + OpenCC s2twp
Rage,class-feature,Barbarian,,PHB; XPHB,classic-or-other; one,2,data/class/class-barbarian.json,/classFeature/0/name,class-feature: Rage,狂暴,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,狂暴,5eclone.pingstudio.tw (legacy exact ENG_name match)
Ranger Archetype,class-feature,Ranger,,PHB,classic-or-other,1,data/class/class-ranger.json,/classFeature/9/name,class-feature: Ranger Archetype,遊俠範型,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,遊俠範型,5eclone.pingstudio.tw (legacy exact ENG_name match)
Ranger Archetype feature,class-feature,Ranger,,PHB,classic-or-other,3,data/class/class-ranger.json,/classFeature/15/name,class-feature: Ranger Archetype feature,遊俠範型能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,遊俠範型能力,5eclone.pingstudio.tw (legacy exact ENG_name match)
Ranger Subclass,class-feature,Ranger,,XPHB,one,1,data/class/class-ranger.json,/classFeature/36/name,class-feature: Ranger Subclass,,,pending,,0.50,,遊俠子職,shuaishuaidnd.cn + OpenCC s2twp
Reckless Attack,class-feature,Barbarian,,PHB; XPHB,classic-or-other; one,2,data/class/class-barbarian.json,/classFeature/3/name,class-feature: Reckless Attack,魯莽攻擊,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,魯莽攻擊,5eclone.pingstudio.tw (legacy exact ENG_name match)
Relentless Hunter,class-feature,Ranger,,XPHB,one,1,data/class/class-ranger.json,/classFeature/46/name,class-feature: Relentless Hunter,,,pending,,0.50,,永恆追獵,shuaishuaidnd.cn + OpenCC s2twp
Relentless Rage,class-feature,Barbarian,,PHB; XPHB,classic-or-other; one,2,data/class/class-barbarian.json,/classFeature/15/name,class-feature: Relentless Rage,頑強狂暴,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,頑強狂暴,5eclone.pingstudio.tw (legacy exact ENG_name match)
Reliable Talent,class-feature,Expert Sidekick; Rogue,,PHB; TCE; XPHB,classic-or-other; one,3,data/class/class-rogue.json,/classFeature/13/name,class-feature: Reliable Talent,可靠才能,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,可靠才能,5eclone.pingstudio.tw (legacy exact ENG_name match)
Replicate Magic Item,class-feature,Artificer,,EFA,classic-or-other,1,data/class/class-artificer.json,/classFeature/2/name,class-feature: Replicate Magic Item,,,pending,,0.50,,仿製魔法物品,shuaishuaidnd.cn + OpenCC s2twp
Restoring Touch,class-feature,Paladin,,XPHB,one,1,data/class/class-paladin.json,/classFeature/42/name,class-feature: Restoring Touch,,,pending,,0.50,,復原之觸,shuaishuaidnd.cn + OpenCC s2twp
Ritual Adept,class-feature,Wizard,,XPHB,one,1,data/class/class-wizard.json,/classFeature/15/name,class-feature: Ritual Adept,,,pending,,0.50,,儀式學家,shuaishuaidnd.cn + OpenCC s2twp
Rogue Subclass,class-feature,Rogue,,XPHB,one,1,data/class/class-rogue.json,/classFeature/28/name,class-feature: Rogue Subclass,,,pending,,0.50,,遊蕩者子職,shuaishuaidnd.cn + OpenCC s2twp
Roguish Archetype,class-feature,Rogue,,PHB,classic-or-other,1,data/class/class-rogue.json,/classFeature/4/name,class-feature: Roguish Archetype,遊蕩者範型,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,遊蕩者範型,5eclone.pingstudio.tw (legacy exact ENG_name match)
Roguish Archetype feature,class-feature,Rogue,,PHB,classic-or-other,3,data/class/class-rogue.json,/classFeature/11/name,class-feature: Roguish Archetype feature,遊蕩者範型能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,遊蕩者範型能力,5eclone.pingstudio.tw (legacy exact ENG_name match)
Roving,class-feature,Ranger,,XPHB,one,1,data/class/class-ranger.json,/classFeature/39/name,class-feature: Roving,越野,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,越野,5eclone.pingstudio.tw (legacy exact ENG_name match)
Sacred Oath,class-feature,Paladin,,PHB,classic-or-other,1,data/class/class-paladin.json,/classFeature/8/name,class-feature: Sacred Oath,神聖誓言,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,神聖誓言,5eclone.pingstudio.tw (legacy exact ENG_name match)
Sacred Oath feature,class-feature,Paladin,,PHB,classic-or-other,3,data/class/class-paladin.json,/classFeature/13/name,class-feature: Sacred Oath feature,神聖誓言能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,神聖誓言能力,5eclone.pingstudio.tw (legacy exact ENG_name match)
Scholar,class-feature,Wizard,,XPHB,one,1,data/class/class-wizard.json,/classFeature/17/name,class-feature: Scholar,,,pending,,0.50,,學者,shuaishuaidnd.cn + OpenCC s2twp
Sear Undead,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/33/name,class-feature: Sear Undead,,,pending,,0.50,,灼淨亡靈,shuaishuaidnd.cn + OpenCC s2twp
Second Wind,class-feature,Fighter; Warrior Sidekick,,PHB; TCE; XPHB,classic-or-other; one,3,data/class/class-fighter.json,/classFeature/1/name,class-feature: Second Wind,回氣,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,回氣,5eclone.pingstudio.tw (legacy exact ENG_name match)
Second Wind Improvement,class-feature,Warrior Sidekick,,TCE,classic-or-other,1,data/class/class-sidekick.json,/classFeature/46/name,class-feature: Second Wind Improvement,回氣強化,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,回氣強化,5eclone.pingstudio.tw (legacy exact ENG_name match)
Self-Restoration,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/57/name,class-feature: Self-Restoration,,,pending,,0.50,,返本還元,shuaishuaidnd.cn + OpenCC s2twp
Sharp Mind,class-feature,Expert Sidekick,,TCE,classic-or-other,1,data/class/class-sidekick.json,/classFeature/15/name,class-feature: Sharp Mind,明銳心智,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,明銳心智,5eclone.pingstudio.tw (legacy exact ENG_name match)
Sidekick Class,class-feature,Expert Sidekick; Spellcaster Sidekick; Warrior Sidekick,,TCE,classic-or-other,3,data/class/class-sidekick.json,/classFeature/2/name,class-feature: Sidekick Class,協力者職業,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,協力者職業,5eclone.pingstudio.tw (legacy exact ENG_name match)
Signature Spells,class-feature,Wizard,,PHB; XPHB,classic-or-other; one,2,data/class/class-wizard.json,/classFeature/13/name,class-feature: Signature Spells,招牌法術,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,招牌法術,5eclone.pingstudio.tw (legacy exact ENG_name match)
Slippery Mind,class-feature,Rogue,,PHB; XPHB,classic-or-other; one,2,data/class/class-rogue.json,/classFeature/17/name,class-feature: Slippery Mind,靈活心智,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,靈活心智,5eclone.pingstudio.tw (legacy exact ENG_name match)
Slow Fall,class-feature,Monk,,PHB; XPHB,classic-or-other; one,2,data/class/class-monk.json,/classFeature/13/name,class-feature: Slow Fall,輕身墜,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,輕身墜,5eclone.pingstudio.tw (legacy exact ENG_name match)
Sneak Attack,class-feature,Rogue,,PHB; XPHB,classic-or-other; one,2,data/class/class-rogue.json,/classFeature/1/name,class-feature: Sneak Attack,偷襲,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,偷襲,5eclone.pingstudio.tw (legacy exact ENG_name match)
Song of Rest (d10),class-feature,Bard,,PHB,classic-or-other,1,data/class/class-bard.json,/classFeature/19/name,class-feature: Song of Rest (d10),紓壓曲(d10),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,紓壓曲(d10),5eclone.pingstudio.tw (legacy exact ENG_name match)
Song of Rest (d12),class-feature,Bard,,PHB,classic-or-other,1,data/class/class-bard.json,/classFeature/24/name,class-feature: Song of Rest (d12),紓壓曲(d12),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,紓壓曲(d12),5eclone.pingstudio.tw (legacy exact ENG_name match)
Song of Rest (d6),class-feature,Bard,,PHB,classic-or-other,1,data/class/class-bard.json,/classFeature/4/name,class-feature: Song of Rest (d6),,,pending,,0.50,,休憩曲(d6),shuaishuaidnd.cn + OpenCC s2twp
Song of Rest (d8),class-feature,Bard,,PHB,classic-or-other,1,data/class/class-bard.json,/classFeature/14/name,class-feature: Song of Rest (d8),紓壓曲(d8),,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,紓壓曲(d8),5eclone.pingstudio.tw (legacy exact ENG_name match)
Sorcerer Subclass,class-feature,Sorcerer,,XPHB,one,1,data/class/class-sorcerer.json,/classFeature/25/name,class-feature: Sorcerer Subclass,,,pending,,0.50,,術士子職,shuaishuaidnd.cn + OpenCC s2twp
Sorcerous Origin,class-feature,Sorcerer,,PHB,classic-or-other,1,data/class/class-sorcerer.json,/classFeature/0/name,class-feature: Sorcerous Origin,術法起源,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,術法起源,5eclone.pingstudio.tw (legacy exact ENG_name match)
Sorcerous Origin feature,class-feature,Sorcerer,,PHB,classic-or-other,3,data/class/class-sorcerer.json,/classFeature/10/name,class-feature: Sorcerous Origin feature,術法起源能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,術法起源能力,5eclone.pingstudio.tw (legacy exact ENG_name match)
Sorcerous Restoration,class-feature,Sorcerer,,PHB; XPHB,classic-or-other; one,2,data/class/class-sorcerer.json,/classFeature/19/name,class-feature: Sorcerous Restoration,術法復原,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,術法復原,5eclone.pingstudio.tw (legacy exact ENG_name match)
Sorcerous Versatility,class-feature,Sorcerer,,TCE,classic-or-other,1,data/class/class-sorcerer.json,/classFeature/8/name,class-feature: Sorcerous Versatility,術法變換,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,術法變換,5eclone.pingstudio.tw (legacy exact ENG_name match)
Sorcery Incarnate,class-feature,Sorcerer,,XPHB,one,1,data/class/class-sorcerer.json,/classFeature/29/name,class-feature: Sorcery Incarnate,,,pending,,0.50,,術法化身,shuaishuaidnd.cn + OpenCC s2twp
Sorcery Points,class-feature,Sorcerer,,PHB,classic-or-other,1,data/class/class-sorcerer.json,/classFeature/4/name,class-feature: Sorcery Points,術法點,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,術法點,5eclone.pingstudio.tw (legacy exact ENG_name match)
Soul of Artifice,class-feature,Artificer,,EFA; TCE,classic-or-other,2,data/class/class-artificer.json,/classFeature/18/name,class-feature: Soul of Artifice,奇械之魂,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,奇械之魂,5eclone.pingstudio.tw (legacy exact ENG_name match)
Spell Mastery,class-feature,Wizard,,PHB; XPHB,classic-or-other; one,2,data/class/class-wizard.json,/classFeature/11/name,class-feature: Spell Mastery,法術精通,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,法術精通,5eclone.pingstudio.tw (legacy exact ENG_name match)
Spell-Storing Item,class-feature,Artificer,,EFA; TCE,classic-or-other,2,data/class/class-artificer.json,/classFeature/11/name,class-feature: Spell-Storing Item,儲法物品,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,儲法物品,5eclone.pingstudio.tw (legacy exact ENG_name match)
Spellcasting,class-feature,Artificer; Bard; Cleric; Druid; Paladin; Ranger; Sorcerer; Spellcaster Sidekick; Wizard,,EFA; PHB; TCE; XPHB,classic-or-other; one,17,data/class/class-artificer.json,/classFeature/0/name,class-feature: Spellcasting,施法,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,施法,5eclone.pingstudio.tw (legacy exact ENG_name match)
Spellcasting Focus,class-feature,Ranger,,TCE,classic-or-other,1,data/class/class-ranger.json,/classFeature/6/name,class-feature: Spellcasting Focus,施法法器,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,施法法器,5eclone.pingstudio.tw (legacy exact ENG_name match)
Steady Aim,class-feature,Rogue,,TCE; XPHB,classic-or-other; one,2,data/class/class-rogue.json,/classFeature/5/name,class-feature: Steady Aim,手穩就準,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,手穩就準,5eclone.pingstudio.tw (legacy exact ENG_name match)
Step of the Wind,class-feature,Monk,,PHB; XPHB,classic-or-other; one,2,data/class/class-monk.json,/classFeature/6/name,class-feature: Step of the Wind,疾步如風,飛檐走壁,proposed,shuaishuaidnd.cn + OpenCC s2twp,0.95,Adopt the full-Class source term for consistency with the translated rules text.,疾步如風,shuaishuaidnd.cn + OpenCC s2twp
Stillness of Mind,class-feature,Monk,,PHB,classic-or-other,1,data/class/class-monk.json,/classFeature/20/name,class-feature: Stillness of Mind,心頭滅卻,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,心頭滅卻,5eclone.pingstudio.tw (legacy exact ENG_name match)
Strength of Mind,class-feature,Mystic,,UATheMysticClass,classic-or-other,1,data/class/class-mystic.json,/classFeature/8/name,class-feature: Strength of Mind,,,pending,,0.50,,心智之力,shuaishuaidnd.cn + OpenCC s2twp
Stroke of Luck,class-feature,Rogue,,PHB; XPHB,classic-or-other; one,2,data/class/class-rogue.json,/classFeature/22/name,class-feature: Stroke of Luck,幸運一擊,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,幸運一擊,5eclone.pingstudio.tw (legacy exact ENG_name match)
Studied Attacks,class-feature,Fighter,,XPHB,one,1,data/class/class-fighter.json,/classFeature/41/name,class-feature: Studied Attacks,,,pending,,0.50,,究明攻擊,shuaishuaidnd.cn + OpenCC s2twp
Stunning Strike,class-feature,Monk,,PHB; XPHB,classic-or-other; one,2,data/class/class-monk.json,/classFeature/16/name,class-feature: Stunning Strike,震懾拳,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,震懾拳,5eclone.pingstudio.tw (legacy exact ENG_name match)
Subclass feature,class-feature,Artificer,,EFA,classic-or-other,3,data/class/class-artificer.json,/classFeature/5/name,class-feature: Subclass feature,,,pending,,0.50,,子職特性,shuaishuaidnd.cn + OpenCC s2twp
Subclass Feature,class-feature,Barbarian; Bard; Cleric; Druid; Fighter; Monk; Paladin; Ranger; Rogue; Sorcerer; Warlock; Wizard,,XPHB,one,35,data/class/class-barbarian.json,/classFeature/35/name,class-feature: Subclass Feature,子職業能力,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,子職業能力,5eclone.pingstudio.tw (legacy exact ENG_name match)
Superior Defense,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/65/name,class-feature: Superior Defense,,,pending,,0.50,,無懈可擊,shuaishuaidnd.cn + OpenCC s2twp
Superior Inspiration,class-feature,Bard,,PHB; XPHB,classic-or-other; one,2,data/class/class-bard.json,/classFeature/27/name,class-feature: Superior Inspiration,卓越激勵,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,卓越激勵,5eclone.pingstudio.tw (legacy exact ENG_name match)
Tactical Master,class-feature,Fighter,,XPHB,one,1,data/class/class-fighter.json,/classFeature/36/name,class-feature: Tactical Master,,,pending,,0.50,,戰術主宰,shuaishuaidnd.cn + OpenCC s2twp
Tactical Mind,class-feature,Fighter,,XPHB,one,1,data/class/class-fighter.json,/classFeature/27/name,class-feature: Tactical Mind,,,pending,,0.50,,戰術思維,shuaishuaidnd.cn + OpenCC s2twp
Tactical Shift,class-feature,Fighter,,XPHB,one,1,data/class/class-fighter.json,/classFeature/31/name,class-feature: Tactical Shift,,,pending,,0.50,,戰術轉進,shuaishuaidnd.cn + OpenCC s2twp
Telepathy,class-feature,Mystic,,UATheMysticClass,classic-or-other,1,data/class/class-mystic.json,/classFeature/5/name,class-feature: Telepathy,,,pending,,0.50,,心靈感應,shuaishuaidnd.cn + OpenCC s2twp
Thaumaturge,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/27/name,class-feature: Thaumaturge,,,pending,,0.50,,奇術使,shuaishuaidnd.cn + OpenCC s2twp
The Right Tool for the Job,class-feature,Artificer,,TCE,classic-or-other,1,data/class/class-artificer.json,/classFeature/25/name,class-feature: The Right Tool for the Job,稱手工具,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,稱手工具,5eclone.pingstudio.tw (legacy exact ENG_name match)
Thieves' Cant,class-feature,Rogue,,PHB; XPHB,classic-or-other; one,2,data/class/class-rogue.json,/classFeature/2/name,class-feature: Thieves' Cant,盜賊黑話,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,盜賊黑話,5eclone.pingstudio.tw (legacy exact ENG_name match)
Three Extra Attacks,class-feature,Fighter,,XPHB,one,1,data/class/class-fighter.json,/classFeature/49/name,class-feature: Three Extra Attacks,,,pending,,0.50,,額外攻擊（三）,shuaishuaidnd.cn + OpenCC s2twp
Timeless Body,class-feature,Druid; Monk,,PHB,classic-or-other,2,data/class/class-druid.json,/classFeature/16/name,class-feature: Timeless Body,不朽身軀,不老身軀,conflict,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,0.65,5eclone candidate is listed first; alternatives require user approval.,不朽身軀,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives
Tinker's Magic,class-feature,Artificer,,EFA,classic-or-other,1,data/class/class-artificer.json,/classFeature/1/name,class-feature: Tinker's Magic,,,pending,,0.50,,修補匠的魔法,shuaishuaidnd.cn + OpenCC s2twp
Tireless,class-feature,Ranger,,XPHB,one,1,data/class/class-ranger.json,/classFeature/43/name,class-feature: Tireless,不知疲倦,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,不知疲倦,5eclone.pingstudio.tw (legacy exact ENG_name match)
Tongue of the Sun and Moon,class-feature,Monk,,PHB,classic-or-other,1,data/class/class-monk.json,/classFeature/26/name,class-feature: Tongue of the Sun and Moon,天語通,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,天語通,5eclone.pingstudio.tw (legacy exact ENG_name match)
Tool Expertise,class-feature,Artificer,,TCE,classic-or-other,1,data/class/class-artificer.json,/classFeature/28/name,class-feature: Tool Expertise,工具專精,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,工具專精,5eclone.pingstudio.tw (legacy exact ENG_name match)
Trip (Cost: 1d6),class-feature,Rogue,,XPHB,one,1,data/class/class-rogue.json,/classFeature/33/name,class-feature: Trip (Cost: 1d6),,,pending,,0.50,,摔絆（花費：1d6）,shuaishuaidnd.cn + OpenCC s2twp
Turn Undead,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/30/name,class-feature: Turn Undead,驅散不死,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,驅散不死,5eclone.pingstudio.tw (legacy exact ENG_name match)
Two Extra Attacks,class-feature,Fighter,,XPHB,one,1,data/class/class-fighter.json,/classFeature/38/name,class-feature: Two Extra Attacks,,,pending,,0.50,,額外攻擊（二）,shuaishuaidnd.cn + OpenCC s2twp
Unarmored Defense,class-feature,Barbarian; Monk,,PHB; XPHB,classic-or-other; one,4,data/class/class-barbarian.json,/classFeature/1/name,class-feature: Unarmored Defense,無甲防禦,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,無甲防禦,5eclone.pingstudio.tw (legacy exact ENG_name match)
Unarmored Movement,class-feature,Monk,,PHB; XPHB,classic-or-other; one,2,data/class/class-monk.json,/classFeature/7/name,class-feature: Unarmored Movement,無甲移動,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,無甲移動,5eclone.pingstudio.tw (legacy exact ENG_name match)
Unarmored Movement improvement,class-feature,Monk,,PHB,classic-or-other,1,data/class/class-monk.json,/classFeature/22/name,class-feature: Unarmored Movement improvement,無甲移動強化,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,無甲移動強化,5eclone.pingstudio.tw (legacy exact ENG_name match)
Uncanny Dodge,class-feature,Rogue,,PHB; XPHB,classic-or-other; one,2,data/class/class-rogue.json,/classFeature/7/name,class-feature: Uncanny Dodge,直覺閃避,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,直覺閃避,5eclone.pingstudio.tw (legacy exact ENG_name match)
Uncanny Metabolism,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/44/name,class-feature: Uncanny Metabolism,,,pending,,0.50,,運轉周天,shuaishuaidnd.cn + OpenCC s2twp
Using a Discipline,class-feature,Mystic,,UATheMysticClass,classic-or-other,1,data/class/class-mystic.json,/classFeature/3/name,class-feature: Using a Discipline,,,pending,,0.50,,使用靈術,shuaishuaidnd.cn + OpenCC s2twp
Vanish,class-feature,Ranger,,PHB,classic-or-other,1,data/class/class-ranger.json,/classFeature/25/name,class-feature: Vanish,無蹤步,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,無蹤步,5eclone.pingstudio.tw (legacy exact ENG_name match)
Warden,class-feature,Druid,,XPHB,one,1,data/class/class-druid.json,/classFeature/23/name,class-feature: Warden,,,pending,,0.50,,衛士,shuaishuaidnd.cn + OpenCC s2twp
Warlock Subclass,class-feature,Warlock,,XPHB,one,1,data/class/class-warlock.json,/classFeature/22/name,class-feature: Warlock Subclass,,,pending,,0.50,,魔契師子職,shuaishuaidnd.cn + OpenCC s2twp
Weapon Mastery,class-feature,Barbarian; Fighter; Paladin; Ranger; Rogue,,XPHB,one,5,data/class/class-barbarian.json,/classFeature/27/name,class-feature: Weapon Mastery,,,pending,,0.50,,武器精通,shuaishuaidnd.cn + OpenCC s2twp
Wild Companion,class-feature,Druid,,TCE; XPHB,classic-or-other; one,2,data/class/class-druid.json,/classFeature/3/name,class-feature: Wild Companion,荒野夥伴,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,荒野夥伴,5eclone.pingstudio.tw (legacy exact ENG_name match)
Wild Resurgence,class-feature,Druid,,XPHB,one,1,data/class/class-druid.json,/classFeature/28/name,class-feature: Wild Resurgence,,,pending,,0.50,,荒野復甦,shuaishuaidnd.cn + OpenCC s2twp
Wild Shape,class-feature,Druid,,PHB; XPHB,classic-or-other; one,2,data/class/class-druid.json,/classFeature/4/name,class-feature: Wild Shape,荒野形態,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,荒野形態,5eclone.pingstudio.tw (legacy exact ENG_name match)
Wild Shape Improvement,class-feature,Druid,,PHB,classic-or-other,2,data/class/class-druid.json,/classFeature/7/name,class-feature: Wild Shape Improvement,荒野形態強化,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,荒野形態強化,5eclone.pingstudio.tw (legacy exact ENG_name match)
Withdraw (Cost: 1d6),class-feature,Rogue,,XPHB,one,1,data/class/class-rogue.json,/classFeature/35/name,class-feature: Withdraw (Cost: 1d6),,,pending,,0.50,,撤步（花費：1d6）,shuaishuaidnd.cn + OpenCC s2twp
Wizard Subclass,class-feature,Wizard,,XPHB,one,1,data/class/class-wizard.json,/classFeature/18/name,class-feature: Wizard Subclass,,,pending,,0.50,,法師子職,shuaishuaidnd.cn + OpenCC s2twp
Words of Creation,class-feature,Bard,,XPHB,one,1,data/class/class-bard.json,/classFeature/45/name,class-feature: Words of Creation,,,pending,,0.50,,創生聖言,shuaishuaidnd.cn + OpenCC s2twp
Arcane Tradition,class-label,Wizard,,PHB,classic,1,data/class/class-wizard.json,/class/0/subclassTitle,Wizard subclass title,奧法學派,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,奧法學派,5eclone.pingstudio.tw (legacy exact ENG_name match)
Artificer Specialist,class-label,Artificer,,TCE,classic,1,data/class/class-artificer.json,/class/0/subclassTitle,Artificer subclass title,奇械師專業,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,奇械師專業,5eclone.pingstudio.tw (legacy exact ENG_name match)
Artificer Subclass,class-label,Artificer,,EFA,one,1,data/class/class-artificer.json,/class/1/subclassTitle,Artificer subclass title,,,pending,,0.50,,奇械師子職,shuaishuaidnd.cn + OpenCC s2twp
Barbarian Subclass,class-label,Barbarian,,XPHB,one,1,data/class/class-barbarian.json,/class/1/subclassTitle,Barbarian subclass title,,,pending,,0.50,,野蠻人子職,shuaishuaidnd.cn + OpenCC s2twp
Bard College,class-label,Bard,,PHB,classic,1,data/class/class-bard.json,/class/0/subclassTitle,Bard subclass title,吟遊學院,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,吟遊學院,5eclone.pingstudio.tw (legacy exact ENG_name match)
Bard Subclass,class-label,Bard,,XPHB,one,1,data/class/class-bard.json,/class/1/subclassTitle,Bard subclass title,,,pending,,0.50,,吟遊詩人子職,shuaishuaidnd.cn + OpenCC s2twp
