english,category,zh_tw,alternative_zh_tw,source,status,lock,notes
Roguish Archetype,classLabel,遊蕩者範型,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Sacred Oath,classLabel,神聖誓言,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Sorcerer Subclass,classLabel,術士子職,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Sorcerous Origin,classLabel,術法起源,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Warlock Subclass,classLabel,魔契師子職,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Wizard Subclass,classLabel,法師子職,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
A Bard's Repertoire,namedRuleBlock,吟遊詩人的曲目,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Aberrant Mind,namedRuleBlock,畸變心智,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Ability Check,namedRuleBlock,屬性檢定,,SRD 5.1; SRD 5.2.1,approved,true,
Actions over Words,namedRuleBlock,行勝於言,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Addle,namedRuleBlock,慌神,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Agility,namedRuleBlock,靈動,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Alchemical Eruption,namedRuleBlock,鍊金噴發,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Ambition Domain (PSA),namedRuleBlock,野心領域(PSA),,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Ambusher's Leap,namedRuleBlock,伏擊者之躍,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Ancient Armor,namedRuleBlock,遠古護甲,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Aquatic Adaptation,namedRuleBlock,水生適應,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Arcana Domain,namedRuleBlock,奧祕領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Arcane Conduit,namedRuleBlock,奧法挪移,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Arcane Empowerment,namedRuleBlock,奧法增強,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Arcane Necrosis,namedRuleBlock,壞疽秘法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Arcane Shot,namedRuleBlock,祕法射擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Area Reading,namedRuleBlock,區域解讀,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Armor Class,namedRuleBlock,護甲等級,,SRD 5.1; SRD 5.2.1,approved,true,
Armor Crafting,namedRuleBlock,護甲手作,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Armor of the Spirit,namedRuleBlock,精魂護甲,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Armor Replication,namedRuleBlock,裝甲仿製,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Armor Training,namedRuleBlock,護甲受訓,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Artificer Infusions,namedRuleBlock,奇械師注法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Astral Barrage,namedRuleBlock,星之連擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Astral Sight,namedRuleBlock,星之視覺,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
At Higher Levels,namedRuleBlock,升環施法效應,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Attack,namedRuleBlock,攻擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Attack Roll,namedRuleBlock,攻擊檢定,,SRD 5.1; SRD 5.2.1,approved,true,
Attacker,namedRuleBlock,攻擊手,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Attunement,namedRuleBlock,同調,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Augment Breath,namedRuleBlock,強化吐息,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Awareness,namedRuleBlock,警覺,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Be the Light,namedRuleBlock,成爲真光,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bear,namedRuleBlock,熊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bear Spirit,namedRuleBlock,熊之精魂,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Bird,namedRuleBlock,鳥,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Bite,namedRuleBlock,啃咬,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Biting Cold,namedRuleBlock,刺骨嚴寒,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Bladesinging,namedRuleBlock,劍詠,劍詠傳承,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,approved,true,User approved the first listed candidate; may revise later.
Bladework,namedRuleBlock,劍法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Blindsight,namedRuleBlock,盲視,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Bloated,namedRuleBlock,腫脹,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Bolstered Rally,namedRuleBlock,眾志成城,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Breaking Your Oath,namedRuleBlock,背棄誓言,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Breath of Winter (17th Level Required),namedRuleBlock,寒冬之息（需17級）,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Burning Life Force,namedRuleBlock,燃盡,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
By Any Means Necessary,namedRuleBlock,爲目的不擇手段,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Canny,namedRuleBlock,精明,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Cantrips,namedRuleBlock,戲法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Cantrips (0-Level Spells),namedRuleBlock,戲法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Cast Spells,namedRuleBlock,施法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Casting Elemental Spells,namedRuleBlock,施放元素法術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Cat,namedRuleBlock,貓,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Challenge Rating,namedRuleBlock,挑戰等級,,SRD 5.1; SRD 5.2.1,approved,true,
Challenges Are but Tests,namedRuleBlock,無懼挑戰,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Changing your Prepared Spells,namedRuleBlock,更換你的準備法術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Changing Your Prepared Spells,namedRuleBlock,改變你的準備法術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Channel Divinity,namedRuleBlock,引導神力,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Arcane Abjuration,namedRuleBlock,引導神力：奧祕阻絕,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Artisan's Blessing,namedRuleBlock,引導神力：工匠祝福,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Balm of Peace,namedRuleBlock,引導神力：和平撫慰,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Charm Animals and Plants,namedRuleBlock,引導神力：魅惑動植物,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Consuming Fervor,namedRuleBlock,引導神力：引領熱忱,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Channel Divinity: Destructive Wrath,namedRuleBlock,引導神力：毀滅狂怒,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Feat of Strength,namedRuleBlock,引導神力：力量的壯舉,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Channel Divinity: Guided Strike,namedRuleBlock,引導神力：神導打擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Invoke Duplicity,namedRuleBlock,引導神力：召喚假體,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Knowledge of the Ages,namedRuleBlock,引導神力：歲月知識,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Order's Demand,namedRuleBlock,引導神力：秩序之令,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Path to the Grave,namedRuleBlock,引導神力：歸墓之途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Preserve Life,namedRuleBlock,引導神力：維繫生命,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Radiance of the Dawn,namedRuleBlock,引導神力：黎明曙光,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Touch of Death,namedRuleBlock,引導神力:死亡之觸,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Channel Divinity: Twilight Sanctuary,namedRuleBlock,引導神力：暮光聖域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Charge Magic Item,namedRuleBlock,衝鋒魔法物品,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Charges,namedRuleBlock,充能,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Charismatic,namedRuleBlock,神眷天恩,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Cheat Death,namedRuleBlock,倖免於難,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Chemical Resistance,namedRuleBlock,鍊金抗性,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Chronurgy Magic,namedRuleBlock,時間魔法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Circle of Dreams,namedRuleBlock,夢境結社,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Circle of Spores,namedRuleBlock,孢子結社,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Circle of Stars,namedRuleBlock,星辰結社,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Circle of the Land,namedRuleBlock,大地結社,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Circle of the Moon,namedRuleBlock,月亮結社,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Circle of the Shepherd,namedRuleBlock,牧人結社,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Circle of Wildfire,namedRuleBlock,野火結社,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Claws,namedRuleBlock,爪擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Clench of the North Wind (6th Level Required),namedRuleBlock,北風之握（需6級）,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Climber,namedRuleBlock,攀爬者,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Clockwork Soul,namedRuleBlock,時械之魂,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Colossus Slayer,namedRuleBlock,巨怪獵者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Combining Psionic Effects,namedRuleBlock,組合靈能效果,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Compassion,namedRuleBlock,憐憫,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Components,namedRuleBlock,成分,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Comprehension,namedRuleBlock,理解,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Concentration,namedRuleBlock,專注,,SRD 5.1; SRD 5.2.1,approved,true,
Conjured Cauldron,namedRuleBlock,咒喚坩堝,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Controlled Channeling,namedRuleBlock,可控通靈,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Converting a Spell Slot to Sorcery Points,namedRuleBlock,法術位轉換術法點,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Converting Spell Slots to Sorcery Points,namedRuleBlock,法術位轉化為術法點,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Copying a Spell into the Book,namedRuleBlock,將法術抄入法術書,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Copying from a Spell Scroll,namedRuleBlock,從法術卷軸中抄寫,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Copying the Book,namedRuleBlock,抄寫法術書,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Courage,namedRuleBlock,勇氣,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Crafting More Magic Items,namedRuleBlock,製作更多魔法物品,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Creating Additional Elixirs,namedRuleBlock,製造額外靈藥,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Creating an Item,namedRuleBlock,創造物品,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Creating Spell Slots,namedRuleBlock,生成法術位,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Crescent Moon,namedRuleBlock,新月,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Crushing Throw,namedRuleBlock,粉碎投擲,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Cutthroat,namedRuleBlock,割喉,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Damage Resistance,namedRuleBlock,傷害抗性,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Dampening Field,namedRuleBlock,減震場,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Darkvision,namedRuleBlock,黑暗視覺,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Death Domain,namedRuleBlock,死亡領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Death's Knell,namedRuleBlock,死亡喪鐘,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Death's Lament,namedRuleBlock,悼亡輓歌,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Decrease Exhaustion,namedRuleBlock,減少力竭,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Defender,namedRuleBlock,防禦者,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Defense,namedRuleBlock,防禦,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Defensive Field,namedRuleBlock,防護場,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Deflect Energy,namedRuleBlock,撥擋能量,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Deft Strike,namedRuleBlock,機敏打擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Defy Death,namedRuleBlock,反抗死亡,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Destructive Energy,namedRuleBlock,毀滅能量,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Destructive Stride,namedRuleBlock,破滅奔行,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Detonate,namedRuleBlock,引爆,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Diminish Defiance,namedRuleBlock,瓦解反抗,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Disappearing Step,namedRuleBlock,無蹤步伐,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Discipline,namedRuleBlock,紀律,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Discipline the Soul,namedRuleBlock,堅毅其魂,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Dispel,namedRuleBlock,破法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Distract,namedRuleBlock,干擾,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Divine Soul,namedRuleBlock,神聖之魂,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Divine Strike,namedRuleBlock,神聖打擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Domain Spells,namedRuleBlock,領域法術,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Double Firepower,namedRuleBlock,雙倍火力,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Douse the Flame of Hope,namedRuleBlock,熄滅希望之火,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Draconic Bloodline,namedRuleBlock,龍族血脈,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Draconic Presence,namedRuleBlock,真龍威儀,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Draconic Strike,namedRuleBlock,龍之打擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Drain Magic Item,namedRuleBlock,吸取魔法物品,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Drake Mount,namedRuleBlock,龍獸坐騎,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Draw of Death,namedRuleBlock,死者歸引,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Dread Resistance,namedRuleBlock,戰慄抗性,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Dreaded Necrosis,namedRuleBlock,戰慄死氣,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Dreadful Step,namedRuleBlock,驚懼步伐,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Dreadful Strike,namedRuleBlock,恐懼打擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Dreadnaught,namedRuleBlock,無畏戰甲,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Drinking an Elixir,namedRuleBlock,飲用一瓶靈藥,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Duration,namedRuleBlock,持續時間,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Duty,namedRuleBlock,盡責,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Eagle,namedRuleBlock,鷹,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Effect Options and Psi Points,namedRuleBlock,效果選項和靈力點,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Elemental Strikes,namedRuleBlock,元素注拳,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Empowered Arms,namedRuleBlock,猛力之臂,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Empowered Bite,namedRuleBlock,強化啃咬,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Empowered Strikes,namedRuleBlock,真力注拳,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Enhanced Necromancy,namedRuleBlock,增強死靈術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Escape the Horde,namedRuleBlock,逃離衆敵,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Eternal Mountain Defense (17th Level Required),namedRuleBlock,蒼山庇佑（需17級）,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Ethereal Sight,namedRuleBlock,以太視界,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Evergreen Wild Shape,namedRuleBlock,不凋化形,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Expanded Spell List,namedRuleBlock,擴展法術列表,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Expanding and Replacing a Spellbook,namedRuleBlock,擴充套件與替換法術書,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Expertise,namedRuleBlock,專精,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Explosive Fury,namedRuleBlock,怒氣爆發,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Eyes of the Dark,namedRuleBlock,幽暗之瞳,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Facilitated Revival,namedRuleBlock,便捷回生,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Facsimile of Life,namedRuleBlock,生命摹寫,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Falcon,namedRuleBlock,獵鷹,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Fearless Form,namedRuleBlock,無畏之姿,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Ferocity,namedRuleBlock,狂怒,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Fight the Greater Evil,namedRuleBlock,追尋以迎戰大惡,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Firepower,namedRuleBlock,火力,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Flames of the Phoenix (11th Level Required),namedRuleBlock,鳳凰烈焰（需11級）,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Flight,namedRuleBlock,飛翔,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Flurry of Blows,namedRuleBlock,疾風連擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Focus,namedRuleBlock,專注,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Focus Point,namedRuleBlock,功力,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Force Demolisher,namedRuleBlock,力場毀滅者,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Forceful Blow,namedRuleBlock,巨力猛擊,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Forge Domain,namedRuleBlock,鍛造領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Frightful Aura,namedRuleBlock,恐懼靈光,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Frightful Avatar,namedRuleBlock,恐懼化身,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Frightful Presence,namedRuleBlock,駭人威儀,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
